line,vetted_scansion,vetted_normalized,computer_scansion,computer_normalized,match,syllables,penalty
The yerde is bet that bowen wole and winde,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,10
Than that that brest; and therfor I yow rede,u S u S u Su S u S,ususususus,S u S u S uS u S ,susususus,NO,9,5
To folwen him that so wel can yow lede.,u Su S u S u S u S,ususususus,u Su S u S u S u S,ususususus,YES,10,10
But for to tellen forth in special,u S u Su S u SuS,ususususus,u S u Su S u SuS,ususususus,YES,10,0
As of this kinges sone of which I tolde,u S u Su S u S u S,ususususus,u S u Su S u S u S,ususususus,YES,10,0
And leten other thinges collateral,u Su Su S uSuS,ususususus,u Su Su Su SuS,ususususus,YES,10,1
Of him thenke I my tale forth to holde,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,0
Bothe of his joye and of his cares colde;,u S u S u S u Su S,ususususus,u S u S u S u Su S,ususususus,YES,10,0
And al his werk as touching this matere,u S u S u Su S uS,ususususus,S u S u S uS u S,susususus,NO,9,6
For I it gan I wil therto refere.,u S u S u S uS uS,ususususus,u S u S u S uS uS,ususususus,YES,10,10
Within the temple he wente him forth pleyinge,Su S u S u S u S,susususus,uS u Su S u S u S,ususususus,NO,10,10
This Troilus of every wight aboute,u SuS u Su S uS,ususususus,u SuS u Su S uS,ususususus,YES,10,1
On this lady and now on that lokinge,u S uS u S u S uS,ususususus,u S uS u S u S uS,ususususus,YES,10,0
Wherso she were of toune or withoute:,uS u S u S u Su,ususususu,uS u S u Su S uS,ususususus,NO,10,15
And upon cas bifel that thorugh a route,u Su S uS u S u S,ususususus,u Su S u S uS u S,ususususus,YES,10,2
His eye perced and so depe it wente,u Su Su S u S u S,ususususus,u Su  S u Su S uS,ususususus,YES,10,15
Til on Criseyde it smoot and ther it stente.,u S uS u S u S u S,ususususus,S u Su S u S u S ,susususus,NO,9,5
And sodeinly he wex therwith astoned,u SuS u S uS uS,ususususus,u SuS u S uS uS,ususususus,YES,10,0
And gan hire bet biholde in thrifty wise:,u S u S uS u Su S,ususususus,u S u S uS u Su S,ususususus,YES,10,2
“O mercy God!” thoughte he “Wher hastow woned,u Su S u S u Su S,ususususus,S uS u S  u Su S,susususus,NO,9,9
That art so fair and goodly to devise?”,u S u S u Su S uS,ususususus,u S u S u Su S uS,ususususus,YES,10,0
Therwith his herte gan to sprede and rise,uS u Su S u S u S,ususususus,u S uS u S u S uS,ususususus,YES,10,20
And softe sighed lest men mighte him here,u Su Su S u S u S,ususususus,u Su Su S u Su S ,ususususus,YES,10,0
And caughte ayein his firste pleying chere.,u S u S uS u S,usususus,u S uS u Su Su S,ususususus,NO,10,10
She nas not with the leste of hir stature,u S u S u S u S uS,ususususus,u S u S u S u S uS,ususususus,YES,10,0
But alle hir limes so wel answeringe,u S u Su S u SuS,ususususus,u S u Su S u SuS,ususususus,YES,10,0
Weren to womanhod that creature,uS u SuS u SuS,ususususus,u S uSu S uSuS,ususususus,YES,10,12
Was neuer lasse mannish in seminge.,u Su Su Su S uS,ususususus,u Su Su Su S uS,ususususus,YES,10,0
And eek the pure wise of her movinge,u S u Su S u S uS,ususususus,u S u S u S u SuS,ususususus,YES,10,12
Shewede wel that men might in hir gesse,uSu S u S u S u S,ususususus,SuS u S u S u S ,susususus,NO,9,15
Honour estat and wommanly noblesse.,uS uS u SuS uS,ususususus,uS uS u SuS uS,ususususus,YES,10,0
To Troilus right wonder wel withalle,u SuS u Su S uS,ususususus,u SuS u Su S uS,ususususus,YES,10,0
Gan for to like hir movinge and hir chere,u S u S u Su S u S,ususususus,u S u Su S uS u S ,ususususus,YES,10,0
Which somdel deinous was for she leet falle,u Su Su S u S u S,ususususus,S uS uS u S  u S,susususus,NO,9,7
Hir look a lite aside in swich manere,u S u S uS u S uS,ususususus,S u S u Su S u S,susususus,NO,9,6
Ascaunces “What! may I not stonden here?”,uSu S u S u Su S,ususususus,uSu S u S u Su S,ususususus,YES,10,10
And after that hir loking gan she lighte,u Su S u Su S u S,ususususus,u Su S u Su S u S,ususususus,YES,10,0
That never thoughte him seen so good a sighte.,u Su S u S u S u S,ususususus,u S u S u S u S uS,ususususus,YES,10,12
And of hir look in him ther gan to quiken,u S u S u S u S u Su,usususususu,u S u S u S u S u Su,usususususu,YES,11,0
So greet desir and swich affeccioun,u S uS u S uSuS,ususususus,u S uS u S uSuS,ususususus,YES,10,0
That in his hertes botme gan to stiken,u S u S uS u S uS,ususususus,S u S u Su S u S,susususus,NO,9,7
Of hir his fixe and depe impressioun:,u S u S u S uSuS,ususususus,u S u S u S uSuS,ususususus,YES,10,0
And though he erst had poured up and doun,u S u S u Su S u S,ususususus,S u S u S u S u S,susususus,NO,9,15
He was tho glad his hornes in to shrinke;,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,0
Unnethes wiste he how to loke or winke.,uSu S u S u S u S,ususususus,uSu Su  S u S u S,ususususus,YES,10,2
Lo he that leet himselven so konninge,u S u S uSu S uS,ususususus,S u S u Su S uS,susususus,NO,9,6
And scorned hem that loves peines dryen,u Su S u Su Su S,ususususus,u Su S u Su Su Su,usususususu,NO,11,0
Was ful unwar that love hadde his dwellinge,u S uS u S u S uS,ususususus,u S uS u Su S u S,ususususus,YES,10,0
Withinne the subtile stremes of hir yän;,uS u Su Su S u S,ususususus,uSu  Su Su S u S,ususususus,YES,10,4
That sodeinly him thoughte he felte dyen,u SuS u S u Su S,ususususus,u SuS u Su  Su Su,usususususu,NO,11,2
Right with hir look the spirit in his herte;,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,10
Blessed be love that thus can folk converte!,uS u Su S u S u S,ususususus,Su  Su S u S u S,susususus,NO,9,8
She this in blak liking to Troilus,u S u S uS u SuS,ususususus,u S u S uS u SuS,ususususus,YES,10,0
Over alle thing he stood for to biholde;,u Su S u S u S uS,ususususus,u Su S u S u S uS,ususususus,YES,10,0
Ne his desir ne wherfor he stood thus,u S uS u Su S u S,ususususus,u S uS u Su S u S,ususususus,YES,10,25
He neither chere made ne worde tolde;,u Su Su S u Su S,ususususus,u Su Su Su  Su S,ususususus,YES,10,17
But from afer his maner for to holde,u S uS u Su S u S,ususususus,S u S u Su S u S,susususus,NO,9,5
On other thing his look somtime he caste,u Su S u S uS u S,ususususus,u Su S u S uSu  S,ususususus,YES,10,2
And ofte on hir whil that servise laste.,u S u S u S uSu S,ususususus,u S u S u S uSu S,ususususus,YES,10,0
And after this not fulliche al awhaped,u Su S u Su S uS,ususususus,u Su S u Su S uS,ususususus,YES,10,0
Out of the temple al esiliche he wente,u S u S u SuS u S,ususususus,u S u S u SuSu S ,ususususus,YES,10,10
Repentinge him that he hadde ever yjaped,uSu S u S u S uS,ususususus,uSu S u  Su S uS,ususususus,YES,10,5
Of loves folk lest fully the descente,u Su S u Su S uS,ususususus,S uS u S uS u S,susususus,NO,9,6
Of scorn fille on himself; but what he mente,u S u S uS u S u S,ususususus,u S u S uS u S u S,ususususus,YES,10,10
Lest it were wist on any maner side,u S u S u Su Su S,ususususus,u S u S u Su Su S,ususususus,YES,10,2
His wo he gan dissimulen and hide.,u S u S uSuS u S,ususususus,u S u S uSu S uS,ususususus,YES,10,10
Whan he was fro the temple thus departed,u S u S u Su S uS,ususususus,S u S u  Su S uS,susususus,NO,9,7
He streight anoon unto his paleis torneth,u S uS uS u Su Su,usususususu,u S uS uS u Su S,ususususus,NO,10,0
Right with hir look thurgh shoten and thurgh darted,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,0
Al feineth he in lust that he sojorneth;,u Su S u S u S uSu,usususususu,S u  S u S u SuS,susususus,NO,9,22
And al his chere and speche also he borneth;,u S u S u S uS u Su,usususususu,S u S u S  uS u S,susususus,NO,9,5
And ay of loves servants every while,u S u Su Su Su S,ususususus,S u S uS u Su S,susususus,NO,9,6
Himself to wrie at hem he gan to smile.,uS u S u S u S u S,ususususus,uS u S u S u S u S,ususususus,YES,10,0
And seide “Lord so ye live al in lest,u Su S u S u S u S,ususususus,u Su S u  Su S u S,ususususus,YES,10,7
Ye loveres! for the conningest of yow,u Su S u SuS u S,ususususus,u Su S u SuS u S,ususususus,YES,10,1
That serveth most ententiflich and best,u Su S uSuS u S,ususususus,S u S uSuS u S,susususus,NO,9,22
Him tit as often harm therof as prow;,u S u Su S uS u S,ususususus,u S u Su S uS u S,ususususus,YES,10,0
Your hire is quit ayein ye God wot how!,S u S u S u S u S,susususus,u S u S uS u S u S,ususususus,NO,10,0
Nought wel for wel but scorn for good servise;,u S u S u S u S uS,ususususus,u S u S u S u S uS,ususususus,YES,10,0
In feith your ordre is ruled in good wise!,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,0
“In nouncertein ben al your observaunces,u SuS u S u SuS,ususususus,u SuS u S u SuS,ususususus,YES,10,0
But it a sely fewe pointes be;,u S u Su Su Su S,ususususus,u S u Su Su Su S,ususususus,YES,10,10
Ne nothing asketh so grete attendaunces,u Su Su S u SuS,ususususus,u Su Su S u SuS,ususususus,YES,10,0
As doth your lay and that knowe alle ye;,u S u S u S u Su S,ususususus,u S u S u S u Su S,ususususus,YES,10,10
But that is not the worste as mote I thee;,u S u S u S u S u S,ususususus,u S u S u S u S u S,ususususus,YES,10,10
But tolde I yow the worste point I leve,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,0
Al seide I sooth ye wolden at me greve!,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,0
“But tak this that ye loveres ofte eschuwe,u S u S u Su S uS,ususususus,u S u S u Su S uS,ususususus,YES,10,0
Or elles doon of good entencioun,u Su S u S uSuS,ususususus,u Su S u S uSuS,ususususus,YES,10,15
Ful oft thy lady wole it misconstrue,u S u Su S u SuS,ususususus,u S u Su S u SuS,ususususus,YES,10,0
And deme it harm in hir opinioun;,u S u S u S uSuS,ususususus,u S u S u S uSuS,ususususus,YES,10,0
And yet if she for other enchesoun,u S u S u Su SuS,ususususus,S u S u S u SuS,susususus,NO,9,20
Be wrooth than shalt thou han a groin anoon:,u S u S u S u S uS,ususususus,u S u S u S u S uS,ususususus,YES,10,0
Lord! wel is him that may be of yow oon!”,u S u S u S u S u S,ususususus,S u S u S u  S u S,susususus,NO,9,5
But for al this whan that he say his time,u S u S u S u S u S,ususususus,u S u S u S u S u S,ususususus,YES,10,0
He held his pees non other bote him gained;,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,0
For love bigan his fetheres so to lime,u S uS u Su S u S,ususususus,u Su Su S u S u S,ususususus,YES,10,3
That wel unnethe unto his folk he feined,u S uS uS u S u S,ususususus,u S uS uS u S u S,ususususus,YES,10,0
That othere besie nedes him destrained;,u Su Su Su S uS,ususususus,u SuS uSu  S uS,ususususus,YES,10,10
For wo was him that what to doon he niste,u S u S u S u S u S,ususususus,u S u S u S u S u S,ususususus,YES,10,0
But bad his folk to goon wher that hem liste.,u S u S u S u S u S,ususususus,u S u S u S u S u S,ususususus,YES,10,0
And whan that he in chaumbre was allone,u S u S u Su S uS,ususususus,S u S  u Su S uS,susususus,NO,9,5
He doun upon his beddes feet him sette,u S uS u Su S u S,ususususus,u S uS u S u S uS,ususususus,YES,10,12
And first he gan to sike and eft to grone,u S u S u S u S u S,ususususus,u S u S u S u S u S,ususususus,YES,10,0
And thoughte ay on hir so withouten lette,u S u S u S uSu S,ususususus,u S u S u S uSu S,ususususus,YES,10,0
That as he sat and wook his spirit mette,u S u S u S u Su S,ususususus,u S u S u S u Su S,ususususus,YES,10,0
That he hir saw atemple and al the wise,u S u S uS u S u S,ususususus,S  u S uS u S u S,susususus,NO,9,5
Right of hir loke and gan it newe avise.,u S u S u S u S uS,ususususus,u S u S u S u S uS,ususususus,YES,10,0
Thus gan he make a mirour of his minde,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,0
In which he saugh al hoolly hir figure;,u S u S u Su S uS,ususususus,u S u S u Su S uS,ususususus,YES,10,0
And that he wel coude in his herte finde,u S u S u S u Su S,ususususus,u S u S uS u S u S,ususususus,YES,10,12
It was to him a right good aventure,u S u S u S u SuS,ususususus,u S u S u S u SuS,ususususus,YES,10,0
To love swich oon and if he dide his cure,u S u S u S u S u S,ususususus,u Su S u S u  S u S,ususususus,YES,10,2
To serven hir yet mighte he falle in grace,u Su S u S u S u S,ususususus,S u S u Su  S u S,susususus,NO,9,7
Or elles for oon of hir servaunts pace.,u Su S u S u Su S,ususususus,S uS u S u S u S,susususus,NO,9,7
Imagining that travaille nor grame,uSuS u SuS u S,ususususus,SuSu S uS u S,susususus,NO,9,7
Ne mighte for so goodly oon be lorn,u Su S u Su S u S,ususususus,u Su S u Su S u S,ususususus,YES,10,0
As she ne him for his desir ne shame,u S u S u S uS u S,ususususus,S u  S u S uS u S,susususus,NO,9,5
Al were it wist but in pris and upborn,u S u S u S u S uS,ususususus,S  u S u S u S uS,susususus,NO,9,5
Of alle lovers wel more than biforn;,u Su Su S u S uS,ususususus,u Su Su S u S uS,ususususus,YES,10,2
Thus argumented he in his ginninge,u SuSu S u S uS,ususususus,S uSu  S u SuS,susususus,NO,9,16
Ful unavised of his wo cominge.,u SuSu S u S uS,ususususus,u SuSu S u S uS,ususususus,YES,10,0
Thus took he purpos loves craft to suwe,u S u Su Su S u S,ususususus,u S u Su Su S u S,ususususus,YES,10,0
And thoughte he wolde werken prively,u S u Su Su SuS,ususususus,u Su  Su Su SuS,ususususus,YES,10,17
First to hiden his desir in muwe,S u Su S uS u S,susususus,S u Su S uS u S,susususus,YES,9,5
From every wight yborn al outrely,u Su S uS u SuS,ususususus,u SuS u Su S uS,ususususus,YES,10,1
But he mighte ought recovered be therby;,u S u S uSu S uS,ususususus,S u Su S uSu  S,susususus,NO,9,13
Remembring him that love to wide yblowe,uSu S u S u S uS,ususususus,uSu S u S u S uS,ususususus,YES,10,2
Yelt bittre fruit though swete seed be sowe.,u Su S u Su S u S,ususususus,u Su S u Su S u S,ususususus,YES,10,15
And over al this yet muchel more he thoughte,u S u S u Su S u S,ususususus,u S u S u Su Su  S,ususususus,YES,10,2
What for to speke and what to holden inne,u S u S u S u Su S,ususususus,u S u S u S u Su S,ususususus,YES,10,0
And what to arten hir to love he soughte,u S u Su S u S u S,ususususus,u S u Su S u Su  S,ususususus,YES,10,2
And on a song anoonright to biginne,u S u S uSu S uS,ususususus,u S u S uSu S uS,ususususus,YES,10,0
And gan loude on his sorwe for to winne;,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,0
For with good hope he gan fully assente,u S u S u S uS uS,ususususus,u S u Su S u Su S,ususususus,YES,10,11
Criseyde for to love and nought repente.,uSu S u S u S uS,ususususus,uSu S u Su S u S,ususususus,YES,10,6
And of his song nought only the sentence,u S u S u Su S uS,ususususus,S u S u S uS u S,susususus,NO,9,16
As writ min autour called Lollius,u S u Su Su SuS,ususususus,S u S uS uS uS,susususus,NO,9,20
But pleinly save our tonges difference,u Su S u Su SuS,ususususus,u Su S u Su SuS,ususususus,YES,10,11
I dar wel sayn in al that Troilus,u S u S u S u SuS,ususususus,u S u S u S u SuS,ususususus,YES,10,0
Seide in his song; lo! every word right thus,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,1
As I shal seyn; and whoso list it here,u S u S u Su S u S,ususususus,S u S u S uS u S ,susususus,NO,9,5
Lo! next this vers he may it finden here.,u S u S u S u Su S,ususususus,S u S u  S u Su S,susususus,NO,9,17
“If no love is O God what fele I so?,u S u S u S u S u S,ususususus,u S u S u S u S u S,ususususus,YES,10,0
And if love is what thing and whiche is he?,u S u S u S u S u S,ususususus,S u S u S u S u S ,susususus,NO,9,5
If love be good from whennes comth my wo?,u S u S u Su S u S,ususususus,u Su S u S u S u S,ususususus,YES,10,12
If it be wikke a wonder thinketh me,u S u S u Su Su S,ususususus,u S u S u Su Su S,ususususus,YES,10,10
Whenne every torment and adversitee,u Su Su S uSuS,ususususus,u SuS uS u SuS,ususususus,YES,10,15
That cometh of him may to me savory thinke;,u S u S u S u Su S,ususususus,u S u S u S  uSu S,ususususus,YES,10,2
For ay thurst I the more that I it drinke.,u S u S u S u S u S,ususususus,u S u S u S u S u S,ususususus,YES,10,2
“And if that at min owene lust I brenne,u S u S u Su S u S,ususususus,u S u S u SuS u S ,ususususus,YES,10,10
Fro whennes cometh my wailing and my pleinte?,u S uS u Su S u S,ususususus,S u Su S uS u S ,susususus,NO,9,7
If harme agree me wherto pleine I thenne?,u S uS u Su S u S,ususususus,S u Su S uS u S ,susususus,NO,9,15
I noot ne why unwery that I feinte.,u S u S uSu S u S,ususususus,u S u S uS u S uS,ususususus,YES,10,11
O quike deeth O swete harm so queinte,u Su S u Su S u S,ususususus,u S u S uS u S uS,ususususus,YES,10,12
How may of thee in me swich quantitee,u S u S u S u SuS,ususususus,S u S u S u S uS,susususus,NO,9,10
But if that I consente that it be?,u S u S uSu S u S,ususususus,S u S u SuS u S ,susususus,NO,9,15
“And if that I consente I wrongfully,u S u S uS u SuS,ususususus,S u S u S u SuS,susususus,NO,9,6
Compleine ywis; thus possed to and fro,uS uS u Su S u S,ususususus,uS uS u Su S u S,ususususus,YES,10,0
Al sterelees withinne a boot am I,u SuS uS u S u S,ususususus,S uS uS u S u S,susususus,NO,9,6
Amid the see bitwixen windes two,uS u S uSu Su S,ususususus,uS u S uSu Su S,ususususus,YES,10,10
That in contrarie stonden evermo.,u S uSu Su SuS,ususususus,u S uSu Su SuS,ususususus,YES,10,0
Allas! what is this wonder maladie?,uS u S u Su SuS,ususususus,uS u S u Su SuS,ususususus,YES,10,0
For hete of cold for cold of hete I deie.”,u S u S u S u S u S,ususususus,u S u S u S u S u S,ususususus,YES,10,0
And to the god of love thus seide he,u S u S u S u Su S,ususususus,u S u S u Su S uS ,ususususus,YES,10,10
With pitous vois “O lord now youres is,u Su S u S u Su S,ususususus,u Su S u S u Su S,ususususus,YES,10,0
My spirit which that oughte youres be.,u Su S u Su Su S,ususususus,u Su S u Su Su S,ususususus,YES,10,10
Yow thanke I lord that han me brought to this;,u S u S u S u S u S,ususususus,u S u S u S u S u S,ususususus,YES,10,0
But whether goddesse or womman ywis,u Su Su S uS uS,ususususus,u Su Su S uS uS,ususususus,YES,10,0
She be I noot which that ye do me serve;,u S u S u S u S u S,ususususus,u S u S u S u S u S,ususususus,YES,10,20
But as hir man I wole ay live and sterve.,u S u S u S u S u S,ususususus,S u S u S u S u S ,susususus,NO,9,5
“Ye stonden in hire eyen mightily,S uS u S u SuS,susususus,u Su S u Su SuS,ususususus,NO,10,0
As in a place unto your vertu digne;,u S u S uS u Su S,ususususus,S u S u Su S u S,susususus,NO,9,7
Wherfore lord if my servise or I,uSu S u S uS u S,ususususus,uSu S u S uS u S,ususususus,YES,10,0
May like yow so beth to me benigne;,u Su S u S u S uS,ususususus,S uS u S u S u S,susususus,NO,9,15
For min estat royal here I resigne,u S uS uS u S uS,ususususus,u S uS uS u S uS,ususususus,YES,10,0
Into hir hond and with ful humble chere,uS u S u S u Su S,ususususus,uS u S u S u Su S,ususususus,YES,10,10
Bicome hir man as to my lady dere.”,uS u S u S u Su S,ususususus,uSu S u S u S uS ,ususususus,YES,10,0
In him ne deined sparen blood royal,u S u Su Su S uS,ususususus,u S u Su Su S uS,ususususus,YES,10,0
The fir of love wherfro God me blesse,u S u Su Su S u S,ususususus,u S u Su Su S u S,ususususus,YES,10,15
Ne him forbar in no degree for al,u S uS u S uS u S,ususususus,u S uS u S uS u S,ususususus,YES,10,10
His vertu or his excellent prowesse;,u Su S u SuS uS,ususususus,S uS u S uSu S,susususus,NO,9,6
But held him as his thral lowe in distresse,u S u S u S u S uS,ususususus,u S u S u S u S uS,ususususus,YES,10,0
And brende him so in sondry wise ay newe,u S u S u Su S u S,ususususus,S u S u S uS u S ,susususus,NO,9,5
That sixty time a day he loste his hewe.,u Su S u S u S u S,ususususus,u Su S u S u Su S ,ususususus,YES,10,0
So muche day by day his owene thought,u S u S u S uSu S,ususususus,u Su S u S u Su S,ususususus,YES,10,1
For lust to hir gan quiken and encrese,u S u S u Su S uS,ususususus,u S u S u Su S uS,ususususus,YES,10,0
That every other charge he sette at nought;,u Su Su S u S u S,ususususus,u Su Su Su  S u S,ususususus,YES,10,3
Forthy ful ofte his hote fir to cese,uS u S u Su S u S,ususususus,uS u S u Su S u S,ususususus,YES,10,0
To seen hir goodly look he gan to prese;,u S u Su S u S u S,ususususus,S u S uS u  S u S,susususus,NO,9,7
For therby to ben esed wel he wende,u Su S u Su S u S,ususususus,S u S u Su S u S,susususus,NO,9,17
And ay the ner he was the more he brende.,u S u S u S u S u S,ususususus,u S  u  S u Su S uS,ususususus,YES,10,24
For ay the ner the fir the hotter is,u S u S u S u Su S,ususususus,u S u S u S u Su S,ususususus,YES,10,15
This trowe I knoweth al this companie.,u S u Su S u SuS,ususususus,u S u Su S u SuS,ususususus,YES,10,0
But were he fer or neer I dar seye this,u S u S u S u S u S,ususususus,S   u S u S u Su S,susususus,NO,9,11
By night or day for wisdom or folie,u S u S u Su S uS,ususususus,u S u S u Su S uS,ususususus,YES,10,0
His herte which that is his brestes ye,u Su S u S u Su S,ususususus,S uS u S u S uS ,susususus,NO,9,15
Was ay on hir that fairer was to sene,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,10
Than ever was Eleine or Polixene.,u Su S uS u SuS,ususususus,u Su S uSu S uS,ususususus,YES,10,6
Eek of the day ther passed nought an houre,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,0
That to himself a thousand time he seide,u S uS u Su S u S,ususususus,u S uS u Su Su  S,ususususus,YES,10,2
“Good goodly to whom serve I and laboure,u Su S u S u S uS,ususususus,S uS u S  u S uS,susususus,NO,9,5
As I best can now wolde God Criseyde,u S u S u Su S uS,ususususus,u S u S u Su S uS,ususususus,YES,10,0
Ye wolden on me rewe er that I deide!,u Su S u S u S u S,ususususus,u Su S u S u S u S,ususususus,YES,10,0
My dere herte allas! min hele and hewe,S u S uS u S u S,susususus,S uS u Su S u S ,susususus,YES,9,15
And lif is lost but ye wole on me rewe.”,u S u S u S u S u S,ususususus,S u S u S u S u  S,susususus,NO,9,7
Alle othere dredes weren from him fledde,u Su Su Su S u S,ususususus,u SuS uS u S u S,ususususus,YES,10,22
Bothe of the assege and his savacioun;,u S u S u S uSuS,ususususus,u S  uS u S uSuS,ususususus,YES,10,0
Ne in him desir noon othere fownes bredde,x u S uS u Su Su S,ususususus, u S uS u SuS uS ,ususususus,YES,10,10
But arguments to this conclusioun,u SuS u S uSuS,ususususus,S uSu S u SuS,susususus,NO,9,5
That she on him wolde han compassioun,u S u S u S uSuS,ususususus,u  S u Su S uSuS,ususususus,YES,10,0
And he to be hir man whil he may dure;,u S u S u S u S u S,ususususus,S u S u S u S  u S,susususus,NO,9,7
Lo here his lif and from the deeth his cure!,u S u S u S u S u S,ususususus,S  u S u S  u S uS,susususus,NO,9,17
The sharpe shoures felle of armes preve,u Su Su S u Su S,ususususus,u Su Su S u Su S,ususususus,YES,10,0
That Ector or his othere bretheren diden,u Su S u Su SuS uS,usususususus,u Su S u Su Su Su,usususususu,NO,11,2
Ne made him only therfore ones meve;,u S u Su Su Su S,ususususus,u Su S uS uS uS ,ususususus,YES,10,0
And yet was he wherso men wente or riden,u S u S uS u S u Su,usususususu,S u S u S u S u S,susususus,NO,9,17
Founde oon the best and lengest time abiden,u S u S u Su S uSu,usususususu,u S u S u S uS uSu,usususususu,YES,11,12
Ther peril was and dide eek such travaile,u Su S u S u S uS,ususususus,u S u S u S u SuS,ususususus,YES,10,12
In armes that to thenke it was mervaile.,u Su S u S u S uS,ususususus,S uS u S u S u S,susususus,NO,9,5
But for non hate he to the Grekes hadde,u S u S u S u Su S,ususususus,u S u Su  S u Su S,ususususus,YES,10,2
Ne also for the rescous of the toun,u Su S u Su S u S,ususususus,u Su S u Su S u S,ususususus,YES,10,5
Ne made him thus in armes for to madde,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,0
But only lo for this conclusioun,u Su S u S uSuS,ususususus,u Su S u S uSuS,ususususus,YES,10,0
To liken hir the bet for his renoun;,u Su S u S u S uS,ususususus,u Su S u S u S uS,ususususus,YES,10,0
Fro day to day in armes so he spedde,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,10
That al the Grekes as the deeth him dredde.,u S u Su S u S u S,ususususus,u S u Su S  u S uS,ususususus,YES,10,12
And fro this forth tho refte him love his sleep,u S u S u S u S u S,ususususus,u S u S u S u S u S,ususususus,YES,10,0
And made his mete his foo; and eek his sorwe,u S u S u S u S u S,ususususus,u Su S  u S u S u S,ususususus,YES,10,0
Gan multiplie that whoso toke keep,u SuS u Su Su S,ususususus,u SuSu S uS u S,ususususus,YES,10,2
It shewed in his hewe bothe eve and morwe;,u Su S u S u S u S,ususususus,u Su S u Su S  u S,ususususus,YES,10,0
Therfor a title he gan him for to borwe,uS u S u S u S u S,ususususus,uS u Su  S u S u S,ususususus,YES,10,2
Of other siknesse lest of him men wende,u Su Su S u S u S,ususususus,u Su Su S u S u S,ususususus,YES,10,11
That the hote fir of love him brende.,S u Su S u S u S,susususus,S u Su S u Su S ,susususus,YES,9,5
And seide he hadde a fever and ferde amis;,u S u S u S u S uS,ususususus,u Su  S u Su S  uS,ususususus,YES,10,0
But how it was certain can I not seye,u S u S uS u S u S,ususususus,u S u S uS u S u S,ususususus,YES,10,0
If that his lady understood not this,u S u Su SuS u S,ususususus,u S u Su SuS u S,ususususus,YES,10,0
Or feined hir she niste oon of the tweie;,u Su S u S u S u S,ususususus,u Su S u S u S u S,ususususus,YES,10,0
But wel I rede that by no maner weie,u S u S u S u Su S,ususususus,S u S u S u S u S,susususus,NO,9,9
Ne semed it as that she of him roughte,u Su S u S u S u S,ususususus,u Su S u S u S u S,ususususus,YES,10,5
Nor of his peine or whatsoever he thoughte.,u S u S u SuS u S,ususususus,u S u S u SuSu  S,ususususus,YES,10,2
But than fel to this Troilus such wo,u S u S u SuS u S,ususususus,u S u S u SuS u S,ususususus,YES,10,0
That he was wel neigh wood; for ay his drede,u S u S u S u S u S,ususususus,S u S u S u S u S ,susususus,NO,9,5
Was this that she som wight had loved so,u S u S u S u Su S,ususususus,S u S u S u S u S,susususus,NO,9,7
That never of him she wolde have taken hede;,u S u S u S u Su S,ususususus,u S u S u Su Su S ,ususususus,YES,10,2
For which him thoughte he felte his herte blede.,u S u S u S u Su S,ususususus,u S u Su  Su S uS ,ususususus,YES,10,12
Ne of his wo ne dorste he not biginne,u S u S u S u S uS,ususususus,u S u S u Su  S uS,ususususus,YES,10,7
To tellen it for al this world to winne.,u Su S u S u S u S,ususususus,u Su S u S u S u S,ususususus,YES,10,0
But whanne he hadde a space fro his care,u S u S u Su S u S,ususususus,u Su  S u Su S u S,ususususus,YES,10,0
Thus to himself ful ofte he gan to pleine;,u S uS u S u S u S,ususususus,u S uS u Su  S u S,ususususus,YES,10,2
He saide “O fool now art thou in the snare,u S u S u S u S u S,ususususus,u S u S u S u S u S,ususususus,YES,10,0
That whilom japedest at loves peine;,u Su SuS u Su S,ususususus,u Su SuS u Su S,ususususus,YES,10,0
Now artow hent now gnaw thin owene cheine;,u Su S u S u Su S,ususususus,S uS u S u S u S,susususus,NO,9,8
Thou were ay wont eche lovere reprehende,u S u S u Su SuS,ususususus,S u S u Su Su S,susususus,NO,9,7
Of thing fro which thou canst thee nat defende.,u S u S u S u S uS,ususususus,u S u S u S u S uS,ususususus,YES,10,10
“What wol now every lover seyn of thee,u S u Su Su S u S,ususususus,u S u Su Su S u S,ususususus,YES,10,11
