OG_OXFORD_TEXT,OXFORD_TEXT,GREEN_SCANSION,V1_SCANSION,V2_SCANSION,GREEN_SYLLABLES,V1_SYLLABLES,V2_SYLLABLES,V1_MATCHES_GREEN,V2_MATCHES_GREEN
"As wel as thee, if that I sholde assente",As wel as thee if that I sholde assente,u S u S u S u Sx uSx,u S u S u S u Sx uSx,u S u S u S u Sx uSx,10,10,10,1,1
"Thorugh min abet, that he thin honour shente.",Thorugh min abet that he thin honour shente,u S uS u S u Su Sx,u S uS u S u Su Sx,uS u Su S u S uS ux,10,10,11,1,0
"“Now understond, for I yow nought requere",Now understond for I yow nought requere,u SuS u S u S uSx,u SuS u S u S uSx,u SuS u S u S uSx,10,10,10,1,1
To binde yow to him thorugh no beheste,To binde yow to him thorugh no beheste,u Sx u S u Su S uSx,u Sx u S u Su S uSx,u Sx u S u Su S uSx,10,10,10,1,1
But only that ye make him bettre chere,But only that ye make him bettre chere,u Su S u Sx u Su Sx,u Su S u Sx u Su Sx,u Su S u Sx u Su Sx,10,10,10,1,1
"Than ye han doon er this, and more feste",Than ye han doon er this and more feste,u S u S u S u Su Sx,u S u S u S u Su Sx,u S u S u S u Su Sx,10,10,10,1,1
"So that his lif be saved, at the leste:",So that his lif be saved at the leste,u S u S u Su S u Sx,u S u S u Su S u Sx,u S u S u Su S u Sx,10,10,10,1,1
"This al and som, and plainly our entente;",This al and som and plainly our entente,u S u S u Su S uSx,u S u S u Su S uSx,u S u S u Su S uSx,10,10,10,1,1
"God helpe me so, I never other mente.",God helpe me so I never other mente,u Sx u S u Su Su Sx,u Sx u S u Su Su Sx,u Sx u S u Su Su Sx,10,10,10,1,1
"“Lo, this request is not but skile, y-wis",Lo this request is not but skile ywis,u S uS u S u Sx uS,u S uS u S u Sx uS,u S uS u S u Sx uS,10,10,10,1,1
"Ne doute of reson, pardee, is ther noon.",Ne doute of reson pardee is ther noon,u Sx u Su Su S u S,u Sx u Su Su S u S,u Sx u Su Su S u S,10,10,10,1,1
"I set the worste, that ye dredden this",I set the worste that ye dredden this,u S u Su S u Su S,u S u Su S u Su S,u S u Su S u Su S,10,10,10,1,1
Men wolden wondren seen him come or goon:,Men wolden wondren seen him come or goon,u Su Su S u Sx u S,u Su Su S u Sx u S,u Su Su S u Sx u S,10,10,10,1,1
Ther ayeins answere I thus anoon,Ther ayeins answere I thus anoon,S uSu Sxx u S uS,S uS uSx u S uS,S uS uSx u S uS,9,9,9,0,0
"That every wight, but he be fool of kinde",That every wight but he be fool of kinde,u Sxu S u S u S u Sx,u Sxu S u S u S u Sx,u Su S u S u S u Sx,10,10,10,1,1
Wol deme it love of freendship in his minde.,Wol deme it love of freendship in his minde,u Sx u Sx u Su S u Sx,u Sx u Sx u Su S u Sx,u Sx u Sx u Su S u Sx,10,10,10,1,1
"“What? who wol deme, though he see a man",What who wol deme though he see a man,u S u Su S u S u S,u S u Su S u S u S,u S u Su S u S u S,10,10,10,1,1
"To temple go, that he th’images eteth?",To temple go that he th images eteth,u Su S u S ux Su Sx,u Su S u S  uSu Sx,u Su S u S  uSu Su,10,10,11,0,0
Thenk eek how wel and wisly that he can,Thenk eek how wel and wisly that he can,u S u S u Su S u S,u S u S u Su S u S,u S u S u Su S u S,10,10,10,1,1
"Governe himself, that he no thing foryeteth",Governe himself that he no thing foryeteth,uSx uS u S u S uSx,uSx uS u S u S uSx,uSx uS u S u S uSux,10,10,11,1,0
"That, wher he cometh, he pris and thank him geteth;",That wher he cometh he pris and thank him geteth,u S u Sx u S u S u Sx,u S u Sx u S u S u Sx,u S u Su S u S u S ux,10,10,11,1,0
"And eek therto, he shal come here so selde",And eek therto he shal come here so selde,u S uS u S ux Sx u Sx,u S uS u S ux Sx u Sx,u S uS u S ux Sx u Sx,10,10,10,1,1
What fors were it though al the toun behelde?,What fors were it though al the toun behelde,u S ux S u S u S uSx,u S ux S u S u S uSx,u S ux S u S u S uSx,10,10,10,1,1
“Swich love of freendes regneth al this toun;,Swich love of freendes regneth al this toun,u Sx u Su Su S u S,u Sx u Su Su S u S,u Sx u Su Su S u S,10,10,10,1,1
And wrie yow in that mantel evermo;,And wrie yow in that mantel evermo,u S u S u Su SuS,u S u S u Su SuS,u S u S u Su SuS,10,10,10,1,1
"And, God so wis be my savacioun",And God so wis be my savacioun,u S u S u S uSuS,u S u S u S uSuS,u S u S u S uSuS,10,10,10,1,1
"As I have seid, your beste is to do so.",As I have seid your beste is to do so,u S ux S u Sx u S u S,u S ux S u Sx u S u S,u S ux S u Sx u S u S,10,10,10,1,1
"But, goode nece, alwey to stinte his wo",But goode nece alwey to stinte his wo,u Su Sx uS u Sx u S,u Su Sx uS u Sx u S,u Su Sx uS u Sx u S,10,10,10,1,1
So lat your daunger sucred ben a lite,So lat your daunger sucred ben a lite,u S u Su Su S u Sx,u S u Su Su S u Sx,u S u Su Su S u Sx,10,10,10,1,1
That of his deeth ye be nought for to wite.”,That of his deeth ye be nought for to wite,u S u S u S u S u Sx,u S u S u S u S u Sx,u S u S u S u S u Sx,10,10,10,1,1
"Criseyde, which that herde him in this wise, T",Criseyde which that herde him in this wise,uSu S u Sx u S u Sx,uSu S u Sx u S u Sx,uSu S u Sx u S u Sx,10,10,10,1,1
"houghte, “I shal fele what he meneth, ywis.”",Thoughte I shal fele what he meneth ywis,ux S u Su S u Sx uS,ux S u Sx u S uS uS,ux S u Sx u S uS uS,10,10,10,0,0
"“Now, eem,” quod she, “what wolde ye devise",Now eem quod she what wolde ye devise,u S u S u Su S uSx,u S u S u Su S uSx,u S u S u Su S uSx,10,10,10,1,1
What is your reed I sholde doon of this?”,What is your reed I sholde doon of this,u S u S u Su S u S,u S u S u Su S u S,u S u S u Su S u S,10,10,10,1,1
"“That is wel seid,” quod he, “certain, best is",That is wel seid quod he certain best is,u S u S u S uS u S,u S u S u S uS u S,u S u S u S uS u S,10,10,10,1,1
That ye him love ayein for his lovinge,That ye him love ayein for his lovinge,u S u Sx uS u S uSx,u S u Sx uS u S uSx,u S u Sx uS u S uSx,10,10,10,1,1
As love for love is skilful guerdoninge.,As love for love is skilful guerdoninge,u Sx u Sx u Su SuSx,u Sx u Sx u Su SuSx,u Sx u Sx u Su SuSx,10,10,10,1,1
"“Thenk eek, how elde wasteth every houre",Thenk eek how elde wasteth every houre,u S u Su Su Su Sx,u S u Sx uS uSu Sx,u S u Sx uS uSu Sx,10,10,10,0,0
In eche of yow a party of beautee;,In eche of yow a party of beautee,u Sx u S u Su S uS,u Sx u S u Su S uS,u Sx u S u Su S uS,10,10,10,1,1
"And therfore, er that age thee devoure",And therfore er that age thee devoure,u Sux S u Su S uSx,u Sux S u Su S uSx,u Sux S u Su S uSx,10,10,10,1,1
"Go love, for, old, ther wol no wight of thee.",Go love for old ther wol no wight of thee,u Sx u S u S u S u S,u Sx u S u S u S u S,u Sx u S u S u S u S,10,10,10,1,1
Lat this proverbe a lore unto yow be;,Lat this proverbe a lore unto yow be,u S uSx u Sx uS u S,u S uSx u Sx uS u S,u S uSx u Sx uS u S,10,10,10,1,1
"‘To late ywar,’ quod Beautee, ‘whan it paste;",To late ywar quod Beautee whan it paste,u Sx uS u Su S u Sx,u Sx uS u Su S u Sx,u Sx uS u Su S u Sx,10,10,10,1,1
And elde daunteth daunger at the laste.’,And elde daunteth daunger at the laste,u Su Su Su S u Sx,u Su Su Su S u Sx,u Su Su Su S u Sx,10,10,10,1,1
“The kinges fool is wont to cryen loude,The kinges fool is wont to cryen loude,u Su S u S u Su Sx,u Su S u S u Su Sx,u Su S u S u Su Sx,10,10,10,1,1
Whan that him thinketh a womman bereth hir hiё,Whan that him thinketh a womman bereth hir hi,u S u Sx u Su S u S,u S u Su S uS xx u S,u S u Su S uS ux S u,10,10,11,0,0
"‘So longe mote ye live, and alle proude",So longe mote ye live and alle proude,u Su Sx u Sx u Su Sx,u Su Sx u Sx u Su Sx,u Su Sx u Sx u Su Sx,10,10,10,1,1
Til crowes feet be growe under your yё,Til crowes feet be growe under your y,u Su S u Sx uS u S,u Su S u Sx uS u S,u Su S u Sx uS u S,10,10,10,1,1
And send yow thanne a mirour in to prië,And send yow thanne a mirour in to pri,u S u Sx u Su S u S,u S u Sx u Su S u S,u S u Sx u Su S u S,10,10,10,1,1
In which that ye may see your face amorwe!’,In which that ye may see your face amorwe,u S u S u S u Sx uSx,u S u S u S u Sx uSx,u S u S u S u Sx uSx,10,10,10,1,1
"Nece, I bidde wish yow no more sorwe.”",Nece I bidde wish yow no more sorwe,Sx u Su S u S u Su,Sx u Sx u S u Su Sx,Sx u Sx u S u Su Sx,10,9,9,0,0
"With this he stente, and caste adoun the heed",With this he stente and caste adoun the heed,u S u Sx u Sx uS u S,u S u Sx u Sx uS u S,u S u Sx u Sx uS u S,10,10,10,1,1
And she bigan to breste awepe anoon.,And she bigan to breste awepe anoon,u S uS u Sx uSx uS,u S uS u Sx uSx uS,u S uS u Sx uSx uS,10,10,10,1,1
"And seide, “Allas, for wo! why nere I deed?",And seide Allas for wo why nere I deed,u Sx uS u S u Sx u S,u Sx uS u S u Sx u S,u Sx uS u S u Sx u S,10,10,10,1,1
For of this world the feith is al agoon!,For of this world the feith is al agoon,u S u S u S u S uS,u S u S u S u S uS,u S u S u S u S uS,10,10,10,1,1
Allas! what sholden straunge to me doon,Allas what sholden straunge to me doon,uS u Su Su S u S,uS u Su Su S u S,uS u Su Su S u S,10,10,10,1,1
"When he, that for my beste freend I wende",When he that for my beste freend I wende,u S u S u Su S u Sx,u S u S u Su S u Sx,u S u S u Su S u Sx,10,10,10,1,1
"Ret me to love, and sholde it me defende?",Ret me to love and sholde it me defende,u S u Sx u Sx u S uSx,u S u Sx u Sx u S uSx,u S u Sx u Sx u S uSx,10,10,10,1,1
"“Allas! I wolde han trusted, doutelees",Allas I wolde han trusted doutelees,uS u Sx u Su SuS,uS u Sx u Su SuS,uS u Sx u Su SuS,10,10,10,1,1
"That if that I, thurgh my disaventure",That if that I thurgh my disaventure,u S u S u S uSuSx,u S u S u S uSuSx,u S u S u S uSuSx,10,10,10,1,1
Had loved other him or Achilles,Had loved other him or Achilles,u Su Su S u SuS,u Su Su S u SuS,u Su Su S u SuS,10,10,10,1,1
"Ector, or any mannes creature",Ector or any mannes creature,uS u Su Su SuSx,uS u Su Su SuSx,uS u Su Su SuSx,10,10,10,1,1
Ye nolde han had no mercy ne mesure,Ye nolde han had no mercy ne mesure,u Sx u S u Su S uSx,u Sx u S u Su S uSx,u Sx u S u Su S uSx,10,10,10,1,1
"On me, but alwey had me in repreve;",On me but alwey had me in repreve,u S u Su S u S uSx,u S u Su S u S uSx,u S u Su S u S uSx,10,10,10,1,1
"This false world, allas! who may it leve?",This false world allas who may it leve,u Su S uS u S u Sx,u Su S uS u S u Sx,u Su S uS u S u Sx,10,10,10,1,1
“What? is this al the joye and al the feste?,What is this al the joye and al the feste,u S u S u Su S u S xx,u S u S u Su S u S xx,u S u S u Su S u S ux,10,10,11,1,0
"Is this your reed, is this my blisful cas?",Is this your reed is this my blisful cas,u S u S u S u Su S,u S u S u S u Su S,u S u S u S u Su S,10,10,10,1,1
Is this the verray mede of your beheste?,Is this the verray mede of your beheste,u S u Su Sx u S uSx,u S u Su Sx u S uSx,u S u Su Sx u S uSx,10,10,10,1,1
"Is al this peinted proces seid, allas!",Is al this peinted proces seid allas,u S u Su Su S uS,u S u Su Su S uS,u S u Su Su S uS,10,10,10,1,1
"Right for this fin? O lady min, Pallas!",Right for this fin O lady min Pallas,u S u S u Su S uS,u S u S u Su S uS,u S u S u Su S uS,10,10,10,1,1
Thou in this dredful cas for me purveie;,Thou in this dredful cas for me purveie,u S u Su S u S uS,u S u Su S u S uS,u S u Su S u S uS,10,10,10,1,1
For so astonied am I that I deie!”,For so astonied am I that I deie,u S uSu S u S u S,u x SuSu S u S u S,u S uSuS u S u S u,10,10,11,0,0
With that she gan ful sorwfully to sike;,With that she gan ful sorwfully to sike,u S u S u SuS u Sx,u S u S u SuS u Sx,u S u S u SuS u Sx,10,10,10,1,1
“A! may it be no bet?” quod Pandarus;,A may it be no bet quod Pandarus,u S u S u S u SuS,u S u S u S u SuS,u S u S u S u SuS,10,10,10,1,1
"“By God, I shal nomore com here this wike",By God I shal nomore com here this wike,u S u S uSx u Sx u Sx,u S u S uSx u Sx u Sx,u S u S uSx u Sx u Sx,10,10,10,1,1
"And God toforn, that am mistrusted thus;",And God toforn that am mistrusted thus,u S uS u S uSu S,u S uS u S uSu S,u S uS u S uSu S,10,10,10,1,1
I see ful wel that ye set lite of us,I see ful wel that ye set lite of us,u S u S u S u Sx u S,u S u S u S u Sx u S,u S u S u S u Sx u S,10,10,10,1,1
Or of our deeth! Allas! I woful wrecche!,Or of our deeth Allas I woful wrecche,u S u S uS u Su Sx,u S u S uS u Su Sx,u S u S uS u Su Sx,10,10,10,1,1
"Mighte he yet live, of me were nought to recche.",Mighte he yet live of me were nought to recche,ux S u Sx u x Su S u Sx,ux S u Sx u x Su S u Sx,ux S u Sx u S ux S u Sx,10,10,10,1,0
"“O cruel god, O dispitouse Marte",O cruel god O dispitouse Marte,u Su S u SuSu Sx,u Su S u SuSu Sx,u Su S u SuSu Sx,10,10,10,1,1
"O furies three of helle, on yow I crie!",O furies three of helle on yow I crie,u Su S u Sx u S u S,        ,u SuS u S ux S u S u,10,0,11,0,0
So lat me never out of this hous departe,So lat me never out of this hous departe,u S x S u S u S uSx,u S x uS u S u S uSx,u S u Su S u S u Sux,9,10,11,0,0
If that I mente harm or vilanie!,If that I mente harm or vilanie,u S u Su S u SuS,u S u Su S u SuS,u S u Su S u SuS,10,10,10,1,1
But sith I see my lord mot nedes die,But sith I see my lord mot nedes die,u S u S u S u Su S,u S u S u S u Su S,u S u S u S u Su S,10,10,10,1,1
"And I with him, here I me shrive, and seye",And I with him here I me shrive and seye,u S u S ux S u Sx u S,u S u S ux S u Sx u S,u S u S ux S u Sx u S,10,10,10,1,1
That wikkedly ye doon us bothe deie.,That wikkedly ye doon us bothe deie,u SuS u S u Su S,u SuS u S u Su S,u SuS u S u Su S,10,10,10,1,1
“But sith it liketh yow that I be deed,But sith it liketh yow that I be deed,u S u Su S u S u S,u S u Su S u S u S,u S u Su S u S u S,10,10,10,1,1
"By Neptunus, that god is of the see",By Neptunus that god is of the see,u SuS u S u S u S,u SuS u S u S u S,u SuS u S u S u S,10,10,10,1,1
Fro this forth shal I never eten breed,Fro this forth shal I never eten breed,u S u S u Su Su S,u S u S u Su Su S,u S u S u Su Su S,10,10,10,1,1
Til I min owene herte blood may see;,Til I min owene herte blood may see,u S u Sux Su S u S,u S u Sux Su S u S,u S u Sux Su S u S,10,10,10,1,1
"For certain, I wole deie as sone as he.” —",For certain I wole deie as sone as he,u Su S ux S u Sx u S,u Su S ux S u Sx u S,u Su S ux S u Sx u S,10,10,10,1,1
"And up he sterte, and on his wey he raughte",And up he sterte and on his wey he raughte,u S u Sx u S u S u Sx,u S u Sx u S u S u Sx,u S u Sx u S u S u Sx,10,10,10,1,1
Til she again him by the lappe caughte.,Til she again him by the lappe caughte,u S uS u S u Su Sx,u S uS u S u Su Sx,u S uS u S u Su Sx,10,10,10,1,1
"Criseyde, which that wel neigh starf for fere",Criseyde which that wel neigh starf for fere,uSu S u S u S u Sx,uSu S u S u S u Sx,uSu S u S u S u Sx,10,10,10,1,1
So as she was the ferfulleste wight,So as she was the ferfulleste wight,u S u S u SuSu S,u S u S u SuSu S,u S u S u SuSu S,10,10,10,1,1
"That mighte be, and herde eek with hir ere",That mighte be and herde eek with hir ere,u Su S u Sx u S u Sx,u Su S u Sx u S u Sx,u Su S u Sx u S u Sx,10,10,10,1,1
And saw the sorwful ernest of the knight,And saw the sorwful ernest of the knight,u S u Su Su S u S,u S u Su Su S u S,u S u Su Su S u S,10,10,10,1,1
And in his preiere eek saw noon unright,And in his preiere eek saw noon unright,u S u Sux S u S uS,u S u Sux S u S uS,u S u Sux S u S uS,10,10,10,1,1
And for the harm that mighte eek fallen more,And for the harm that mighte eek fallen more,u S u S u Sx u Su Sx,u S u S u Sx u Su Sx,u S u S u Sx u Su Sx,10,10,10,1,1
"She gan to rewe, and dradde hir wonder sore;",She gan to rewe and dradde hir wonder sore,u S u Sx u Sx u Su Sx,u S u Sx u Sx u Su Sx,u S u Sx u Sx u Su Sx,10,10,10,1,1
"And thoughte thus, “Unhappes fallen thikke",And thoughte thus Unhappes fallen thikke,u Su S uSu Su Sx,u Su S uSu Su Sx,u Su S uSu Su Sx,10,10,10,1,1
"Alday for love, and in swich maner cas",Alday for love and in swich maner cas,uS u Sx u S u Su S,uS u Sx u S u Su S,uS u Sx u S u Su S,10,10,10,1,1
As men ben cruel in hemself and wikke;,As men ben cruel in hemself and wikke,u S u Su S uS u Sx,u S u Su S uS u Sx,u S u Su S uS u Sx,10,10,10,1,1
"And if this man slee here himself, allas!",And if this man slee here himself allas,u S u S u Sx uS uS,u S u S u Sx uS uS,u S u S u Sx uS uS,10,10,10,1,1
"In my presence, it wol be no solas.",In my presence it wol be no solas,u S uSx u S u S uS,u S uSx u S u S uS,u S uSx u S u S uS,10,10,10,1,1
What men wolde of it deme I can nat seye;,What men wolde of it deme I can nat seye,u S ux S u Sx u S u S,u S ux S u Sx u S u S,u S ux S u Sx u S u S,10,10,10,1,1
It nedeth me ful sleyly for to pleie.”,It nedeth me ful sleyly for to pleie,u Su S u Su S u S,u Su S u Su S u S,u Su S u Su S u S,10,10,10,1,1
And with a sorwful sik she seide thrie,And with a sorwful sik she seide thrie,u S u Su S u Su S,u S u Su S u Su S,u S u Su S u Su S,10,10,10,1,1
“A! Lord! what me is tid a sory chaunce!,A Lord what me is tid a sory chaunce,u S u S u S u Su Sx,u S u S u S u Su Sx,u S u S u S u Su Sx,10,10,10,1,1
For min estat now lith in jupartie,For min estat now lith in jupartie,u S uS u S u SuS,u S uS u S u SuS,u S uS u S u SuS,10,10,10,1,1
And eek min emes lif lith in balaunce;,And eek min emes lif lith in balaunce,u S u Su S u S uSx,u S u Su S u S uSx,u S u Su S u S uSx,10,10,10,1,1
"But nathelees, with gode governaunce",But nathelees with gode governaunce,u SuS u Su SuSx,u SuS u Su SuSx,u SuS u Su SuSx,10,10,10,1,1
"I shal so doon, min honour shal I kepe",I shal so doon min honour shal I kepe,u S u S u Su S u Sx,u S u S u Su S u Sx,u S u S u Su S u Sx,10,10,10,1,1
And eek his lif”; and stinte for to wepe.,And eek his lif and stinte for to wepe,u S u S u Su S u Sx,u S u S u Su S u Sx,u S u S u Su S u Sx,10,10,10,1,1
"“Of harmes two, the lesse is for to chese;",Of harmes two the lesse is for to chese,u Su S u Sx u S u Sx,u Su S u Sx u S u Sx,u Su S u Sx u S u Sx,10,10,10,1,1
Yet have I lever maken him good chere,Yet have I lever maken him good chere,u Sx u Su Su S u Sx,u Sx u Su Su S u Sx,u Sx u Su Su S u Sx,10,10,10,1,1
"In honour, than min emes lif to lese;",In honour than min emes lif to lese,u Su S u Su S u Sx,u Su S u Su S u Sx,u Su S u Su S u Sx,10,10,10,1,1
"Ye seyn, ye no thing elles me requere?”",Ye seyn ye no thing elles me requere,u S u S u Su S uSx,u S u S u Su S uSx,u S u S u Su S uSx,10,10,10,1,1
"“No, wis,” quod he, “min owene nece dere.”",No wis quod he min owene nece dere,u S u S u Sux Su Sx,u S u S u Sux Su Sx,u S u S u Sux Su Sx,10,10,10,1,1
"“Now wel,” quod she, “and I wol doon my peine;",Now wel quod she and I wol doon my peine,u S u S u S u S u Sx,u S u S u S u S u Sx,u S u S u S u S u Sx,10,10,10,1,1
I shal min herte ayeins my lust constreine,I shal min herte ayeins my lust constreine,u S u Sx uS u S uSx,u S u Sx uS u S uSx,u S u Sx uS u S uSx,10,10,10,1,1
“But that I nil not holden him in honde,But that I nil not holden him in honde,u S u S u Su S u Sx,u S u S u Su S u Sx,u S u S u Su S u Sx,10,10,10,1,1
"Ne love a man, ne can I not, ne may",Ne love a man ne can I not ne may,u Sx u S u S u S u S,u Sx u S u S u S u S,u Sx u S u S u S u S,10,10,10,1,1
Ayeins my wil; but elles wol I fonde,Ayeins my wil but elles wol I fonde,uS u S u Su S u Sx,uS u S u Su S u Sx,uS u S u Su S u Sx,10,10,10,1,1
"Min honour sauf, plese him fro day to day;",Min honour sauf plese him fro day to day,u Su S ux S u S u S,u Su S ux S u S u S,u Su S ux S u S u S,10,10,10,1,1
Therto nolde I nought ones have seid nay,Therto nolde I nought ones have seid nay,uS ux S u Su Sx u S,uS ux S u Su Sx u S,uS ux S u Su Sx u S,10,10,10,1,1
"But that I dredde, as in my fantasie;",But that I dredde as in my fantasie,u S u Sx u S u SuS,u S u Sx u S u SuS,u S u Sx u S u SuS,10,10,10,1,1
"But cesse cause, ay cesseth maladie.",But cesse cause ay cesseth maladie,u Su Sx u Su SuS,u Su Sx u Su SuS,u Su Sx u Su SuS,10,10,10,1,1
“And here I make a protestacioun,And here I make a protestacioun,u Sx u Sx u SuSuS,u Sx u Sx u SuSuS,u Sx u Sx u SuSuS,10,10,10,1,1
That in this proces if ye depper go,That in this proces if ye depper go,u S u Su S u Su S,u S u Su S u Su S,u S u Su S u Su S,10,10,10,1,1
"That certainly, for no savacioun",That certainly for no savacioun,u SuS u S uSuS,u SuS u S uSuS,u SuS u S uSuS,10,10,10,1,1
"Of yow, though that ye sterve bothe two",Of yow though that ye sterve bothe two,u S u S u Su Su S,u S u S u Su Su S,u S u S u Su Su S,10,10,10,1,1
Though al the world on o day be my fo,Though al the world on o day be my fo,u S u S u S u S u S,u S u S u S u S u S,u S u S u S u S u S,10,10,10,1,1
Ne shal I never on him han other routhe.”—,Ne shal I never on him han other routhe,u S u S u S u Su Sx,u S u Su S u S u Sx,u S u Su S u S uS ux,10,10,11,0,0
"“I graunte wel,” quod Pandare, “by my trouthe.",I graunte wel quod Pandare by my trouthe,u Sx u S uSu S u Sx,u Sx u S uSu S u Sx,u Sx u S uSu S u Sx,10,10,10,1,1
"“But may I truste wel therto,” quod he",But may I truste wel therto quod he,u S u Su S uS u S,u S u Su S uS u S,u S u Su S uS u S,10,10,10,1,1
"“That, of this thing that ye han hight me here",That of this thing that ye han hight me here,u S u S u S u S u Sx,u S u S u S u S u Sx,u S u S u S u S u Sx,10,10,10,1,1
Ye wol it holden trewly unto me?”,Ye wol it holden trewly unto me,u S u Su Su Su S,u S u Su Su Su S,u S u Su Su Su S,10,10,10,1,1
"“Ye, doutelees,” quod she, “min uncle dere.”",Ye doutelees quod she min uncle dere,u SuS u S u Su Sx,u SuS u S u Su Sx,u SuS u S u Su Sx,10,10,10,1,1
"“Ne that I shal han cause in this matere,”",Ne that I shal han cause in this matere,u S u S u Sx u S uSx,u S u S u Sx u S uSx,u S u S u Sx u S uSx,10,10,10,1,1
"Quod he, “to pleine, or after yow to preche?”",Quod he to pleine or after yow to preche,u S u Sx u Su S u Sx,u S u Sx u Su S u Sx,u S u Sx u Su S u Sx,10,10,10,1,1
"“Why, no, pardee; what nedeth more speche?”",Why no pardee what nedeth more speche,u S uS u Su Su Sx,u S uS u Su Su Sx,u S uS u Su Su Sx,10,10,10,1,1
Tho fillen they in other tales glade,Tho fillen they in other tales glade,u Su S u Su Su Sx,u Su S u Su Su Sx,u Su S u Su Su Sx,10,10,10,1,1
"Til at the laste, “O good eem,” quod she tho",Til at the laste O good eem quod she tho,u S u Sx u S u S u S,u S u Sx u S u S u S,u S u Sx u S u S u S,10,10,10,1,1
"“For love of God, which that us bothe made",For love of God which that us bothe made,u Sx u S u S u Su Sx,u Sx u S u S u Su Sx,u Sx u S u S u Su Sx,10,10,10,1,1
Tel me how first ye wisten of his wo:,Tel me how first ye wisten of his wo,u S u S u Su S u S,u S u S u Su S u S,u S u S u Su S u S,10,10,10,1,1
"Wot noon of it but ye?” He seide, “No.”",Wot noon of it but ye He seide No,u S u S u S u Su S,u S u S u S u Su S,u S u S u S u Su S,10,10,10,1,1
"“Can he wel speke of love?” quod she, “I preie",Can he wel speke of love quod she I preie,u S u Sx u Sx u S u S,u S u Sx u Sx u S u S,u S u Sx u Sx u S u S,10,10,10,1,1
"Tel me, for I the bet me shal purveie.”",Tel me for I the bet me shal purveie,u S u S u S u S uS,u S u S u S u S uS,u S u S u S u S uS,10,10,10,1,1
Tho Pandarus a litel gan to smile,Tho Pandarus a litel gan to smile,u SuS u Su S u Sx,u SuS u Su S u Sx,u SuS u Su S u Sx,10,10,10,1,1
"And seide, “By my trouthe, I shal yow telle.",And seide By my trouthe I shal yow telle,u Su S u Sx u S u Sx,u Su S u Sx u S u Sx,u Su S u Sx u S u Sx,10,10,10,1,1
"This other day, nought gon ful longe while",This other day nought gon ful longe while,u Su S u S u Su Sx,u Su S u S u Su Sx,u Su S u S u Su Sx,10,10,10,1,1
"Inwith the paleis gardin, by a welle",Inwith the paleis gardin by a welle,uS u Su Su S u Sx,uS u Su Su S u Sx,uS u Su Su S u Sx,10,10,10,1,1
Gan he and I wel half a day to dwelle,Gan he and I wel half a day to dwelle,u S u S u S u S u Sx,u S u S u S u S u Sx,u S u S u S u S u Sx,10,10,10,1,1
Right for to speken of an ordenaunce,Right for to speken of an ordenaunce,u S u Su S u SuSx,u S u Su S u SuSx,u S u Su S u SuSx,10,10,10,1,1
How we the Grekes mighte disavaunce.,How we the Grekes mighte disavaunce,u S u Su Su SuSx,u S u Su Su SuSx,u S u Su Su SuSx,10,10,10,1,1
“Sone after that bigonne we to lepe,Sone after that bigonne we to lepe,ux Su S uSu S u Sx,ux Su S uSu S u Sx,ux Su S uSu S u Sx,10,10,10,1,1
And casten with our dartes to and fro,And casten with our dartes to and fro,u Su S u Su S u S,u Su S u Su S u S,u Su S u Su S u S,10,10,10,1,1
"Til at the laste he seide, he wolde slepe",Til at the laste he seide he wolde slepe,u S u Sx u Sx u Su Sx,u S u Sx u Sx u Su Sx,u S u Sx u Sx u Su Sx,10,10,10,1,1
And on the gres adoun he leide him tho;,And on the gres adoun he leide him tho,u S u S uS u Sx u S,u S u S uS u Sx u S,u S u S uS u Sx u S,10,10,10,1,1
And I after gan rome to and fro,And I after gan rome to and fro,u S uS u Su S u S,u S uS u Su S u S,u S uS u Su S u S,10,10,10,1,1
"Til that I herde, as that I welk allone",Til that I herde as that I welk allone,u S u Sx u S u S uSx,u S u Sx u S u S uSx,u S u Sx u S u S uSx,10,10,10,1,1
How he bigan ful wofully to grone.,How he bigan ful wofully to grone,u S uS u SuS u Sx,u S uS u SuS u Sx,u S uS u SuS u Sx,10,10,10,1,1
Tho gan I stalke him softely bihinde,Tho gan I stalke him softely bihinde,u S u Sx u SuS uSx,u S u Sx u SuS uSx,u S u Sx u SuS uSx,10,10,10,1,1
"And sikerly, the sothe for to seyne",And sikerly the sothe for to seyne,u SuS u Su S u Sx,u SuS u Su S u Sx,u SuS u Su S u Sx,10,10,10,1,1
As I can clepe ayein now to my minde,As I can clepe ayein now to my minde,u S u Sx uS u S u Sx,u S u Sx uS u S u Sx,u S u Sx uS u S u Sx,10,10,10,1,1
Right thus to Love he gan him for to pleine;,Right thus to Love he gan him for to pleine,u S u Sx u S u S u Sx,u S u Sx u S u S u Sx,u S u Sx u S u S u Sx,10,10,10,1,1
"He seide, ‘Lord! have routhe upon my peine",He seide Lord have routhe upon my peine,u Sx u Su Sx uS u Sx,u Sx u Su Sx uS u Sx,u Sx u Su Sx uS u Sx,10,10,10,1,1
Al have I been rebel in min entente;,Al have I been rebel in min entente,u Sx u S uS u S uSx,u Sx u S uS u S uSx,u Sx u S uS u S uSx,10,10,10,1,1
"Now, mea culpa, lord! I me repente.",Now mea culpa lord I me repente,u Su Su S u S uSx,u Su Su S u S uSx,u Su Su S u S uSx,10,10,10,1,1
