headword,word,tag,line_number,filename,context,text_type,source_file
willen,wole,v%pr_3,ABC 167,data/riverside_cats/ABC_riv.cat,And yit he wole not my dampnacioun,RIVERSIDE,ABC_gui_complete.csv
slen,slayn,v%ppl,ABC 171,data/riverside_cats/ABC_riv.cat,That him ne roughte nothing to be slayn,RIVERSIDE,ABC_gui_complete.csv
mouen,myghte,v%pt_pl,The Prioress' Tale 493,data/riverside_cats/PrT_riv.cat,And thurgh the strete men myghte ride or wende,RIVERSIDE,PrT_gui_complete.csv
wenden,wende,v%inf,The Prioress' Tale 493,data/riverside_cats/PrT_riv.cat,And thurgh the strete men myghte ride or wende,RIVERSIDE,PrT_gui_complete.csv
usen,used,v%pt_pl,The Prioress' Tale 499,data/riverside_cats/PrT_riv.cat,Swich manere doctrine as men used there,RIVERSIDE,PrT_gui_complete.csv
seien,seyn,v%inf,The Prioress' Tale 500,data/riverside_cats/PrT_riv.cat,This is to seyn to syngen and to rede,RIVERSIDE,PrT_gui_complete.csv
reden,rede,v%inf,The Prioress' Tale 500,data/riverside_cats/PrT_riv.cat,This is to seyn to syngen and to rede,RIVERSIDE,PrT_gui_complete.csv
haven,have,v%pr_3,The Prioress' Tale 531,data/riverside_cats/PrT_riv.cat,Answerde hym thus This song I have herd seye,RIVERSIDE,PrT_gui_complete.csv
connen,kan,v%pr_1,The Prioress' Tale 535,data/riverside_cats/PrT_riv.cat,I kan namoore expounde in this mateere,RIVERSIDE,PrT_gui_complete.csv
connen,kan,v%pr_1,The Prioress' Tale 536,data/riverside_cats/PrT_riv.cat,I lerne song I kan but smal grammeere,RIVERSIDE,PrT_gui_complete.csv
willen,wol,v%pr_1,The Prioress' Tale 539,data/riverside_cats/PrT_riv.cat,Now certes I wol do my diligence,RIVERSIDE,PrT_gui_complete.csv
ben,be,v%pr_3,The Prioress' Tale 540,data/riverside_cats/PrT_riv.cat,To konne it al er Cristemasse be went,RIVERSIDE,PrT_gui_complete.csv
shulen,shal,v%pr_1,The Prioress' Tale 541,data/riverside_cats/PrT_riv.cat,Though that I for my prymer shal be shent,RIVERSIDE,PrT_gui_complete.csv
shulen,shal,v%pr_1,The Prioress' Tale 542,data/riverside_cats/PrT_riv.cat,And shal be beten thries in an houre,RIVERSIDE,PrT_gui_complete.csv
haven,han,v%pr_pl,The Prioress' Tale 565,data/riverside_cats/PrT_riv.cat,Fro thennes forth the Jues han conspired,RIVERSIDE,PrT_gui_complete.csv
haven,han,v%pr_pl,The Prioress' Tale 567,data/riverside_cats/PrT_riv.cat,An homycide therto han they hyred,RIVERSIDE,PrT_gui_complete.csv
spreden,sprede,v%inf,The Prioress' Tale 577,data/riverside_cats/PrT_riv.cat,And namely ther th onour of God shal sprede,RIVERSIDE,PrT_gui_complete.csv
quethen,she,v%pt_3,The Prioress' Tale 581,data/riverside_cats/PrT_riv.cat,The white Lamb celestial quod she,RIVERSIDE,PrT_gui_complete.csv
gon,goon,v%pr_pl,The Prioress' Tale 583,data/riverside_cats/PrT_riv.cat,In Pathmos wroot which seith that they that goon,RIVERSIDE,PrT_gui_complete.csv
sen,seyn,v%ppl,The Prioress' Tale 592,data/riverside_cats/PrT_riv.cat,That he last seyn was in the Juerie,RIVERSIDE,PrT_gui_complete.csv
ben,were,v%pt_3,The Prioress' Tale 594,data/riverside_cats/PrT_riv.cat,She gooth as she were half out of hir mynde,RIVERSIDE,PrT_gui_complete.csv
finden,fynde,v%inf,The Prioress' Tale 596,data/riverside_cats/PrT_riv.cat,By liklihede hir litel child to fynde,RIVERSIDE,PrT_gui_complete.csv
seien,seyde,v%pt_pl,The Prioress' Tale 603,data/riverside_cats/PrT_riv.cat,They seyde nay but Jhesu of his grace,RIVERSIDE,PrT_gui_complete.csv
senden,sente,v%pt_pl,The Prioress' Tale 616,data/riverside_cats/PrT_riv.cat,And hastily they for the provost sente,RIVERSIDE,PrT_gui_complete.csv
binden,bynde,v%inf,The Prioress' Tale 620,data/riverside_cats/PrT_riv.cat,And after that the Jewes leet he bynde,RIVERSIDE,PrT_gui_complete.csv
haven,han,v%pr_pl,The Prioress' Tale 638,data/riverside_cats/PrT_riv.cat,Han sped hem for to burien hym ful faste,RIVERSIDE,PrT_gui_complete.csv
casten,caste,v%pt_pl,The Prioress' Tale 639,data/riverside_cats/PrT_riv.cat,And whan they hooly water on hym caste,RIVERSIDE,PrT_gui_complete.csv
finden,fynde,v%pr_pl,The Prioress' Tale 652,data/riverside_cats/PrT_riv.cat,But Jesu Crist as ye in bookes fynde,RIVERSIDE,PrT_gui_complete.csv
forleten,forlete,v%inf,The Prioress' Tale 658,data/riverside_cats/PrT_riv.cat,And whan that I my lyf sholde forlete,RIVERSIDE,PrT_gui_complete.csv
haven,han,v%pr_pl,The Prioress' Tale 661,data/riverside_cats/PrT_riv.cat,As ye han herd and whan that I hadde songe,RIVERSIDE,PrT_gui_complete.csv
moten,moot,v%pr_1,The Prioress' Tale 663,data/riverside_cats/PrT_riv.cat,Wherfore I synge and synge moot certeyn,RIVERSIDE,PrT_gui_complete.csv
ben,be,v%imp,The Prioress' Tale 669,data/riverside_cats/PrT_riv.cat,Be nat agast I wol thee nat forsake,RIVERSIDE,PrT_gui_complete.csv
willen,wol,v%pr_1,The Prioress' Tale 669,data/riverside_cats/PrT_riv.cat,Be nat agast I wol thee nat forsake,RIVERSIDE,PrT_gui_complete.csv
sen,seyn,v%ppl,The Prioress' Tale 673,data/riverside_cats/PrT_riv.cat,And whan this abbot hadde this wonder seyn,RIVERSIDE,PrT_gui_complete.csv
triklen,trikled,v%pt_pl,The Prioress' Tale 674,data/riverside_cats/PrT_riv.cat,His salte teeris trikled doun as reyn,RIVERSIDE,PrT_gui_complete.csv
binden,ybounde,v%ppl,The Prioress' Tale 676,data/riverside_cats/PrT_riv.cat,And stille he lay as he had ben ybounde,RIVERSIDE,PrT_gui_complete.csv
meten,meete,v%inf,The Prioress' Tale 683,data/riverside_cats/PrT_riv.cat,Ther he is now God leve us for to meete,RIVERSIDE,PrT_gui_complete.csv
multiplien,multiplie,v%pr_3,The Prioress' Tale 689,data/riverside_cats/PrT_riv.cat,On us his grete mercy multiplie,RIVERSIDE,PrT_gui_complete.csv
ben,be,v%pr_3,The Wife of Bath's Prologue 5,data/riverside_cats/WBPro_riv.cat,Thonked be God that is eterne on lyve,RIVERSIDE,WBPro_gui_complete.csv
haven,yhad,v%inf,The Wife of Bath's Prologue 17,data/riverside_cats/WBPro_riv.cat,Thou hast yhad fyve housbondes quod he,RIVERSIDE,WBPro_gui_complete.csv
connen,kan,v%pr_1,The Wife of Bath's Prologue 20,data/riverside_cats/WBPro_riv.cat,What that he mente therby I kan nat seyn,RIVERSIDE,WBPro_gui_complete.csv
seien,seyn,v%inf,The Wife of Bath's Prologue 20,data/riverside_cats/WBPro_riv.cat,What that he mente therby I kan nat seyn,RIVERSIDE,WBPro_gui_complete.csv
mouen,may,v%pr_pl,The Wife of Bath's Prologue 26,data/riverside_cats/WBPro_riv.cat,Men may devyne and glosen up and doun,RIVERSIDE,WBPro_gui_complete.csv
understonden,understonde,v%inf,The Wife of Bath's Prologue 29,data/riverside_cats/WBPro_riv.cat,That gentil text kan I wel understonde,RIVERSIDE,WBPro_gui_complete.csv
witen,woot,v%pr_1,The Wife of Bath's Prologue 30,data/riverside_cats/WBPro_riv.cat,Eek wel I woot he seyde myn housbonde,RIVERSIDE,WBPro_gui_complete.csv
leten,lete,v%inf,The Wife of Bath's Prologue 31,data/riverside_cats/WBPro_riv.cat,Sholde lete fader and mooder and take to me,RIVERSIDE,WBPro_gui_complete.csv
shulen,sholde,v%pt_pl,The Wife of Bath's Prologue 34,data/riverside_cats/WBPro_riv.cat,Why sholde men thanne speke of it vileynye,RIVERSIDE,WBPro_gui_complete.csv
ben,be,v%pr_3,The Wife of Bath's Prologue 44,data/riverside_cats/WBPro_riv.cat,Yblessed be God that I have wedded fyve,RIVERSIDE,WBPro_gui_complete.csv
willen,wol,v%pr_1,The Wife of Bath's Prologue 46,data/riverside_cats/WBPro_riv.cat,For sothe I wol nat kepe me chaast in al,RIVERSIDE,WBPro_gui_complete.csv
wedden,wedde,v%inf,The Wife of Bath's Prologue 48,data/riverside_cats/WBPro_riv.cat,Som Cristen man shal wedde me anon,RIVERSIDE,WBPro_gui_complete.csv
ben,am,v%pr_1,The Wife of Bath's Prologue 49,data/riverside_cats/WBPro_riv.cat,For thanne th apostle seith that I am free,RIVERSIDE,WBPro_gui_complete.csv
seien,seye,v%pr_3,The Wife of Bath's Prologue 53,data/riverside_cats/WBPro_riv.cat,What rekketh me thogh folk seye vileynye,RIVERSIDE,WBPro_gui_complete.csv
witen,woot,v%pr_1,The Wife of Bath's Prologue 55,data/riverside_cats/WBPro_riv.cat,I woot wel Abraham was an hooly man,RIVERSIDE,WBPro_gui_complete.csv
connen,kan,v%pr_1,The Wife of Bath's Prologue 56,data/riverside_cats/WBPro_riv.cat,And Jacob eek as ferforth as I kan,RIVERSIDE,WBPro_gui_complete.csv
connen,can,v%pr_pl,The Wife of Bath's Prologue 59,data/riverside_cats/WBPro_riv.cat,Wher can ye seye in any manere age,RIVERSIDE,WBPro_gui_complete.csv
preien,pray,v%pr_1,The Wife of Bath's Prologue 61,data/riverside_cats/WBPro_riv.cat,By expres word I pray yow telleth me,RIVERSIDE,WBPro_gui_complete.csv
ben,were,v%pt_3,The Wife of Bath's Prologue 71,data/riverside_cats/WBPro_riv.cat,And certes if ther were no seed ysowe,RIVERSIDE,WBPro_gui_complete.csv
cacchen,cacche,v%imp,The Wife of Bath's Prologue 76,data/riverside_cats/WBPro_riv.cat,Cacche whoso may who renneth best lat see,RIVERSIDE,WBPro_gui_complete.csv
witen,woot,v%pr_1,The Wife of Bath's Prologue 79,data/riverside_cats/WBPro_riv.cat,I woot wel that th apostel was a mayde,RIVERSIDE,WBPro_gui_complete.csv
ben,were,v%pt_3,The Wife of Bath's Prologue 81,data/riverside_cats/WBPro_riv.cat,He wolde that every wight were swich as he,RIVERSIDE,WBPro_gui_complete.csv
wedden,wedde,v%inf,The Wife of Bath's Prologue 85,data/riverside_cats/WBPro_riv.cat,To wedde me if that my make dye,RIVERSIDE,WBPro_gui_complete.csv
dien,dye,v%pr_3,The Wife of Bath's Prologue 85,data/riverside_cats/WBPro_riv.cat,To wedde me if that my make dye,RIVERSIDE,WBPro_gui_complete.csv
preferren,preferre,v%pr_2,The Wife of Bath's Prologue 96,data/riverside_cats/WBPro_riv.cat,Thogh maydenhede preferre bigamye,RIVERSIDE,WBPro_gui_complete.csv
shiften,shifte,v%inf,The Wife of Bath's Prologue 104,data/riverside_cats/WBPro_riv.cat,Som this som that as hym liketh shifte,RIVERSIDE,WBPro_gui_complete.csv
ben,am,v%pr_1,The Wife of Bath's Prologue 112,data/riverside_cats/WBPro_riv.cat,And lordynges by youre leve that am nat I,RIVERSIDE,WBPro_gui_complete.csv
willen,wol,v%pr_1,The Wife of Bath's Prologue 113,data/riverside_cats/WBPro_riv.cat,I wol bistowe the flour of al myn age,RIVERSIDE,WBPro_gui_complete.csv
tellen,telle,v%imp,The Wife of Bath's Prologue 115,data/riverside_cats/WBPro_riv.cat,Telle me also to what conclusion,RIVERSIDE,WBPro_gui_complete.csv
ben,were,v%pt_3,The Wife of Bath's Prologue 116,data/riverside_cats/WBPro_riv.cat,Were membres maad of generacion,RIVERSIDE,WBPro_gui_complete.csv
glosen,glose,v%pr_3,The Wife of Bath's Prologue 119,data/riverside_cats/WBPro_riv.cat,Glose whoso wole and seye bothe up and doun,RIVERSIDE,WBPro_gui_complete.csv
seien,seye,v%pr_3,The Wife of Bath's Prologue 119,data/riverside_cats/WBPro_riv.cat,Glose whoso wole and seye bothe up and doun,RIVERSIDE,WBPro_gui_complete.csv
seien,sey,v%pr_1,The Wife of Bath's Prologue 126,data/riverside_cats/WBPro_riv.cat,I sey this that they maked ben for bothe,RIVERSIDE,WBPro_gui_complete.csv
shulen,sholde,v%pt_pl,The Wife of Bath's Prologue 129,data/riverside_cats/WBPro_riv.cat,Why sholde men elles in hir bookes sette,RIVERSIDE,WBPro_gui_complete.csv
setten,sette,v%pr_pl,The Wife of Bath's Prologue 129,data/riverside_cats/WBPro_riv.cat,Why sholde men elles in hir bookes sette,RIVERSIDE,WBPro_gui_complete.csv
yelden,yelde,v%inf,The Wife of Bath's Prologue 130,data/riverside_cats/WBPro_riv.cat,That man shal yelde to his wyf hire dette,RIVERSIDE,WBPro_gui_complete.csv
holden,holde,v%ppl,The Wife of Bath's Prologue 135,data/riverside_cats/WBPro_riv.cat,But I seye noght that every wight is holde,RIVERSIDE,WBPro_gui_complete.csv
shulen,sholde,v%pt_pl,The Wife of Bath's Prologue 138,data/riverside_cats/WBPro_riv.cat,Thanne sholde men take of chastitee no cure,RIVERSIDE,WBPro_gui_complete.csv
liven,lyved,v%pt_pl,The Wife of Bath's Prologue 141,data/riverside_cats/WBPro_riv.cat,Yet lyved they evere in parfit chastitee,RIVERSIDE,WBPro_gui_complete.csv
willen,wol,v%pr_1,The Wife of Bath's Prologue 148,data/riverside_cats/WBPro_riv.cat,I wol persevere I nam nat precius,RIVERSIDE,WBPro_gui_complete.csv
yeven,yeve,v%pr_3,The Wife of Bath's Prologue 151,data/riverside_cats/WBPro_riv.cat,If I be daungerous God yeve me sorwe,RIVERSIDE,WBPro_gui_complete.csv
willen,nat,v%pr_1,The Wife of Bath's Prologue 154,data/riverside_cats/WBPro_riv.cat,An housbonde I wol have I wol nat lette,RIVERSIDE,WBPro_gui_complete.csv
wedden,wedde,v%inf,The Wife of Bath's Prologue 168,data/riverside_cats/WBPro_riv.cat,Yet hadde I levere wedde no wyf toyeere,RIVERSIDE,WBPro_gui_complete.csv
abiden,abyde,v%imp,The Wife of Bath's Prologue 169,data/riverside_cats/WBPro_riv.cat,Abyde quod she my tale is nat bigonne,RIVERSIDE,WBPro_gui_complete.csv
gon,go,v%pr_1,The Wife of Bath's Prologue 171,data/riverside_cats/WBPro_riv.cat,Er that I go shal savoure wors than ale,RIVERSIDE,WBPro_gui_complete.csv
seien,seyn,v%inf,The Wife of Bath's Prologue 175,data/riverside_cats/WBPro_riv.cat,This is to seyn myself have been the whippe,RIVERSIDE,WBPro_gui_complete.csv
ben,be,v%imp,The Wife of Bath's Prologue 178,data/riverside_cats/WBPro_riv.cat,Be war of it er thou to ny approche,RIVERSIDE,WBPro_gui_complete.csv
approchen,approche,v%pr_2,The Wife of Bath's Prologue 178,data/riverside_cats/WBPro_riv.cat,Be war of it er thou to ny approche,RIVERSIDE,WBPro_gui_complete.csv
ben,were,v%pt_3,The Wife of Bath's Prologue 184,data/riverside_cats/WBPro_riv.cat,Dame I wolde praye yow if youre wyl it were,RIVERSIDE,WBPro_gui_complete.csv
biginnen,bigan,v%pt_pl,The Wife of Bath's Prologue 185,data/riverside_cats/WBPro_riv.cat,Seyde this Pardoner as ye bigan,RIVERSIDE,WBPro_gui_complete.csv
tellen,telle,v%imp,The Wife of Bath's Prologue 186,data/riverside_cats/WBPro_riv.cat,Telle forth youre tale spareth for no man,RIVERSIDE,WBPro_gui_complete.csv
shulen,shal,v%pr_1,The Wife of Bath's Prologue 195,data/riverside_cats/WBPro_riv.cat,I shal seye sooth tho housbondes that I hadde,RIVERSIDE,WBPro_gui_complete.csv
mouen,myghte,v%pt_pl,The Wife of Bath's Prologue 198,data/riverside_cats/WBPro_riv.cat,Unnethe myghte they the statut holde,RIVERSIDE,WBPro_gui_complete.csv
holden,holde,v%inf,The Wife of Bath's Prologue 198,data/riverside_cats/WBPro_riv.cat,Unnethe myghte they the statut holde,RIVERSIDE,WBPro_gui_complete.csv
witen,woot,v%pr_pl,The Wife of Bath's Prologue 200,data/riverside_cats/WBPro_riv.cat,Ye woot wel what I meene of this pardee,RIVERSIDE,WBPro_gui_complete.csv
haven,had,v%pt_pl,The Wife of Bath's Prologue 204,data/riverside_cats/WBPro_riv.cat,They had me yeven hir lond and hir tresoor,RIVERSIDE,WBPro_gui_complete.csv
don,doon,v%inf,The Wife of Bath's Prologue 206,data/riverside_cats/WBPro_riv.cat,To wynne hir love or doon hem reverence,RIVERSIDE,WBPro_gui_complete.csv
loven,loved,v%pt_pl,The Wife of Bath's Prologue 207,data/riverside_cats/WBPro_riv.cat,They loved me so wel by God above,RIVERSIDE,WBPro_gui_complete.csv
haven,hadde,v%pt_pl,The Wife of Bath's Prologue 212,data/riverside_cats/WBPro_riv.cat,And sith they hadde me yeven al hir lond,RIVERSIDE,WBPro_gui_complete.csv
ben,were,v%pt_3,The Wife of Bath's Prologue 214,data/riverside_cats/WBPro_riv.cat,But it were for my profit and myn ese,RIVERSIDE,WBPro_gui_complete.csv
understonden,understonde,v%inf,The Wife of Bath's Prologue 225,data/riverside_cats/WBPro_riv.cat,Ye wise wyves that kan understonde,RIVERSIDE,WBPro_gui_complete.csv
shulen,shulde,v%pt_pl,The Wife of Bath's Prologue 226,data/riverside_cats/WBPro_riv.cat,Thus shulde ye speke and bere hem wrong on honde,RIVERSIDE,WBPro_gui_complete.csv
seien,sey,v%pr_1,The Wife of Bath's Prologue 229,data/riverside_cats/WBPro_riv.cat,I sey nat this by wyves that been wyse,RIVERSIDE,WBPro_gui_complete.csv
ben,be,v%pr_3,The Wife of Bath's Prologue 230,data/riverside_cats/WBPro_riv.cat,But if it be whan they hem mysavyse,RIVERSIDE,WBPro_gui_complete.csv
ben,be,v%pr_3,The Wife of Bath's Prologue 250,data/riverside_cats/WBPro_riv.cat,And if that she be riche of heigh parage,RIVERSIDE,WBPro_gui_complete.csv
ben,be,v%pr_3,The Wife of Bath's Prologue 253,data/riverside_cats/WBPro_riv.cat,And if that she be fair thou verray knave,RIVERSIDE,WBPro_gui_complete.csv
abiden,abyde,v%inf,The Wife of Bath's Prologue 255,data/riverside_cats/WBPro_riv.cat,She may no while in chastitee abyde,RIVERSIDE,WBPro_gui_complete.csv
mouen,may,v%pr_pl,The Wife of Bath's Prologue 263,data/riverside_cats/WBPro_riv.cat,Thou seyst men may nat kepe a castel wal,RIVERSIDE,WBPro_gui_complete.csv
ben,be,v%pr_3,The Wife of Bath's Prologue 265,data/riverside_cats/WBPro_riv.cat,And if that she be foul thou seist that she,RIVERSIDE,WBPro_gui_complete.csv
finden,fynde,v%pr_3,The Wife of Bath's Prologue 268,data/riverside_cats/WBPro_riv.cat,Til that she fynde som man hire to chepe,RIVERSIDE,WBPro_gui_complete.csv
welden,welde,v%inf,The Wife of Bath's Prologue 271,data/riverside_cats/WBPro_riv.cat,And seyst it is an hard thyng for to welde,RIVERSIDE,WBPro_gui_complete.csv
holden,helde,v%inf,The Wife of Bath's Prologue 272,data/riverside_cats/WBPro_riv.cat,A thyng that no man wole his thankes helde,RIVERSIDE,WBPro_gui_complete.csv
wedden,wedde,v%inf,The Wife of Bath's Prologue 274,data/riverside_cats/WBPro_riv.cat,And that no wys man nedeth for to wedde,RIVERSIDE,WBPro_gui_complete.csv
moten,moote,v%pr_3,The Wife of Bath's Prologue 277,data/riverside_cats/WBPro_riv.cat,Moote thy welked nekke be tobroke,RIVERSIDE,WBPro_gui_complete.csv
chiden,chide,v%inf,The Wife of Bath's Prologue 281,data/riverside_cats/WBPro_riv.cat,What eyleth swich an old man for to chide,RIVERSIDE,WBPro_gui_complete.csv
hiden,hide,v%inf,The Wife of Bath's Prologue 282,data/riverside_cats/WBPro_riv.cat,Thow seyst we wyves wol oure vices hide,RIVERSIDE,WBPro_gui_complete.csv
willen,wol,v%pr_pl,The Wife of Bath's Prologue 283,data/riverside_cats/WBPro_riv.cat,Til we be fast and thanne we wol hem shewe,RIVERSIDE,WBPro_gui_complete.csv
clepen,clepe,v%pr_2,The Wife of Bath's Prologue 296,data/riverside_cats/WBPro_riv.cat,And clepe me faire dame in every place,RIVERSIDE,WBPro_gui_complete.csv
maken,make,v%pr_2,The Wife of Bath's Prologue 298,data/riverside_cats/WBPro_riv.cat,That I was born and make me fressh and gay,RIVERSIDE,WBPro_gui_complete.csv
willen,wol,v%pr_1,The Wife of Bath's Prologue 307,data/riverside_cats/WBPro_riv.cat,I wol hym noght thogh thou were deed tomorwe,RIVERSIDE,WBPro_gui_complete.csv
listen,liste,v%pr_3,The Wife of Bath's Prologue 318,data/riverside_cats/WBPro_riv.cat,Thou sholdest seye Wyf go wher thee liste,RIVERSIDE,WBPro_gui_complete.csv
willen,wol,v%pr_1,The Wife of Bath's Prologue 319,data/riverside_cats/WBPro_riv.cat,Taak youre disport I wol nat leve no talys,RIVERSIDE,WBPro_gui_complete.csv
gon,goon,v%pr_pl,The Wife of Bath's Prologue 322,data/riverside_cats/WBPro_riv.cat,Wher that we goon we wol ben at oure large,RIVERSIDE,WBPro_gui_complete.csv
willen,wol,v%pr_pl,The Wife of Bath's Prologue 322,data/riverside_cats/WBPro_riv.cat,Wher that we goon we wol ben at oure large,RIVERSIDE,WBPro_gui_complete.csv
understonden,understonde,v%inf,The Wife of Bath's Prologue 328,data/riverside_cats/WBPro_riv.cat,By this proverbe thou shalt understonde,RIVERSIDE,WBPro_gui_complete.csv
haven,have,v%pr_2,The Wife of Bath's Prologue 329,data/riverside_cats/WBPro_riv.cat,Have thou ynogh what thar thee recche or care,RIVERSIDE,WBPro_gui_complete.csv
haven,have,v%pr_2,The Wife of Bath's Prologue 336,data/riverside_cats/WBPro_riv.cat,Have thou ynogh thee thar nat pleyne thee,RIVERSIDE,WBPro_gui_complete.csv
moten,thee,v%pr_2,The Wife of Bath's Prologue 340,data/riverside_cats/WBPro_riv.cat,And yet with sorwe thou most enforce thee,RIVERSIDE,WBPro_gui_complete.csv
willen,wol,v%pr_1,The Wife of Bath's Prologue 347,data/riverside_cats/WBPro_riv.cat,I wol nat wirche as muchel as a gnat,RIVERSIDE,WBPro_gui_complete.csv
ben,be,v%pr_3,The Wife of Bath's Prologue 351,data/riverside_cats/WBPro_riv.cat,And if the cattes skyn be slyk and gay,RIVERSIDE,WBPro_gui_complete.csv
ben,be,v%pr_3,The Wife of Bath's Prologue 353,data/riverside_cats/WBPro_riv.cat,But forth she wole er any day be dawed,RIVERSIDE,WBPro_gui_complete.csv
willen,wol,v%pr_1,The Wife of Bath's Prologue 356,data/riverside_cats/WBPro_riv.cat,I wol renne out my borel for to shewe,RIVERSIDE,WBPro_gui_complete.csv
shorten,shorte,v%pr_3,The Wife of Bath's Prologue 365,data/riverside_cats/WBPro_riv.cat,O leeve sire shrewe Jhesu shorte thy lyf,RIVERSIDE,WBPro_gui_complete.csv
mouen,may,v%pr_pl,The Wife of Bath's Prologue 369,data/riverside_cats/WBPro_riv.cat,That ye may likne youre parables to,RIVERSIDE,WBPro_gui_complete.csv
willen,wole,v%pr_3,The Wife of Bath's Prologue 375,data/riverside_cats/WBPro_riv.cat,To consume every thyng that brent wole be,RIVERSIDE,WBPro_gui_complete.csv
understonden,understonde,v%ppl,The Wife of Bath's Prologue 379,data/riverside_cats/WBPro_riv.cat,Lordynges right thus as ye have understonde,RIVERSIDE,WBPro_gui_complete.csv
mouen,myghte,v%pt_pl,The Wife of Bath's Prologue 394,data/riverside_cats/WBPro_riv.cat,Whan that for syk unnethes myghte they stonde,RIVERSIDE,WBPro_gui_complete.csv
stonden,stonde,v%inf,The Wife of Bath's Prologue 394,data/riverside_cats/WBPro_riv.cat,Whan that for syk unnethes myghte they stonde,RIVERSIDE,WBPro_gui_complete.csv
mouen,may,v%pr_pl,The Wife of Bath's Prologue 402,data/riverside_cats/WBPro_riv.cat,To wommen kyndely whil that they may lyve,RIVERSIDE,WBPro_gui_complete.csv
avaunten,avaunte,v%pr_1,The Wife of Bath's Prologue 403,data/riverside_cats/WBPro_riv.cat,And thus of o thyng I avaunte me,RIVERSIDE,WBPro_gui_complete.csv
abiden,abyde,v%inf,The Wife of Bath's Prologue 409,data/riverside_cats/WBPro_riv.cat,I wolde no lenger in the bed abyde,RIVERSIDE,WBPro_gui_complete.csv
winnen,wynne,v%imp,The Wife of Bath's Prologue 414,data/riverside_cats/WBPro_riv.cat,Wynne whoso may for al is for to selle,RIVERSIDE,WBPro_gui_complete.csv
mouen,may,v%pr_pl,The Wife of Bath's Prologue 415,data/riverside_cats/WBPro_riv.cat,With empty hand men may none haukes lure,RIVERSIDE,WBPro_gui_complete.csv
chiden,chide,v%inf,The Wife of Bath's Prologue 419,data/riverside_cats/WBPro_riv.cat,That made me that evere I wolde hem chide,RIVERSIDE,WBPro_gui_complete.csv
helpen,helpe,v%pr_3,The Wife of Bath's Prologue 423,data/riverside_cats/WBPro_riv.cat,As helpe me verray God omnipotent,RIVERSIDE,WBPro_gui_complete.csv
moten,moste,v%pt_pl,The Wife of Bath's Prologue 427,data/riverside_cats/WBPro_riv.cat,That they moste yeve it up as for the beste,RIVERSIDE,WBPro_gui_complete.csv
haven,hadde,v%pt_pl,The Wife of Bath's Prologue 428,data/riverside_cats/WBPro_riv.cat,Or elles hadde we nevere been in reste,RIVERSIDE,WBPro_gui_complete.csv
shulen,sholde,v%pt_pl,The Wife of Bath's Prologue 434,data/riverside_cats/WBPro_riv.cat,Ye sholde been al pacient and meke,RIVERSIDE,WBPro_gui_complete.csv
connen,kan,v%pr_pl,The Wife of Bath's Prologue 437,data/riverside_cats/WBPro_riv.cat,Suffreth alwey syn ye so wel kan preche,RIVERSIDE,WBPro_gui_complete.csv
don,do,v%pr_pl,The Wife of Bath's Prologue 438,data/riverside_cats/WBPro_riv.cat,And but ye do certein we shal yow teche,RIVERSIDE,WBPro_gui_complete.csv
shulen,shal,v%pr_pl,The Wife of Bath's Prologue 438,data/riverside_cats/WBPro_riv.cat,And but ye do certein we shal yow teche,RIVERSIDE,WBPro_gui_complete.csv
moten,moste,v%pr_3,The Wife of Bath's Prologue 440,data/riverside_cats/WBPro_riv.cat,Oon of us two moste bowen doutelees,RIVERSIDE,WBPro_gui_complete.csv
moten,moste,v%pr_pl,The Wife of Bath's Prologue 442,data/riverside_cats/WBPro_riv.cat,Than womman is ye moste been suffrable,RIVERSIDE,WBPro_gui_complete.csv
willen,wol,v%pr_1,The Wife of Bath's Prologue 449,data/riverside_cats/WBPro_riv.cat,But I wol kepe it for youre owene tooth,RIVERSIDE,WBPro_gui_complete.csv
seien,sey,v%pr_1,The Wife of Bath's Prologue 450,data/riverside_cats/WBPro_riv.cat,Ye be to blame by God I sey yow sooth,RIVERSIDE,WBPro_gui_complete.csv
haven,hadde,v%pt_pl,The Wife of Bath's Prologue 451,data/riverside_cats/WBPro_riv.cat,Swiche manere wordes hadde we on honde,RIVERSIDE,WBPro_gui_complete.csv
seien,seyn,v%inf,The Wife of Bath's Prologue 454,data/riverside_cats/WBPro_riv.cat,This is to seyn he hadde a paramour,RIVERSIDE,WBPro_gui_complete.csv
haven,han,v%inf,The Wife of Bath's Prologue 463,data/riverside_cats/WBPro_riv.cat,He sholde nat han daunted me fro drynke,RIVERSIDE,WBPro_gui_complete.csv
gon,goon,v%ppl,The Wife of Bath's Prologue 477,data/riverside_cats/WBPro_riv.cat,The flour is goon ther is namoore to telle,RIVERSIDE,WBPro_gui_complete.csv
connen,kan,v%pr_1,The Wife of Bath's Prologue 478,data/riverside_cats/WBPro_riv.cat,The bren as I best kan now moste I selle,RIVERSIDE,WBPro_gui_complete.csv
fonden,fonde,v%inf,The Wife of Bath's Prologue 479,data/riverside_cats/WBPro_riv.cat,But yet to be right myrie wol I fonde,RIVERSIDE,WBPro_gui_complete.csv
haven,han,v%inf,The Wife of Bath's Prologue 510,data/riverside_cats/WBPro_riv.cat,Whan that he wolde han my bele chose,RIVERSIDE,WBPro_gui_complete.csv
shulen,shal,v%pr_1,The Wife of Bath's Prologue 515,data/riverside_cats/WBPro_riv.cat,We wommen han if that I shal nat lye,RIVERSIDE,WBPro_gui_complete.csv
