rank,folder,file,line_number,oxford_text,current_confidence,current_scansion,gain,needed_words
144,to_complete,MkT_gui.csv,The Monk's Tale 2096,Singen his workes laude and heigh renoun,53.17,uS u Su Sx u S uS,42,"laude(0), singen(0), workes(0), renoun(3), heigh(4)"
145,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 1631,And fareth now wel God have you in his grace LA VOSTRE C,0.00,            ,42,"c(0), fareth(0), la(0), vostre(0), you(8)"
146,in_progress,BD_gui_in_progress.csv,Book of the Duchess 942,It was whit smooth streght and pure flatte,20.24,u S u S u S ux Sx,42,"flatte(0), smooth(0), pure(1), streght(1), whit(5)"
147,to_complete,PrPro_gui.csv,The Prioress' Prologue 484,But as a child of twelf monthe old or lesse,56.97,u S u S u S ux S u Sx,42,"twelf(0), monthe(1), child(0), lesse(2), old(2)"
148,to_complete,MilT_gui.csv,The Miller's Tale 3188,A riche gnof that gestes heeld to bord,67.15,u Su S u Su S u S,42,"gnof(0), bord(1), gestes(1), heeld(1), riche(5)"
149,to_complete,KnT_gui.csv,The Knight's Tale 2883,With flotery berd and ruggy asshy heres,34.10,u Sxu S u Su Su Sx,42,"asshy(0), flotery(0), ruggy(0), heres(1), berd(7)"
150,to_complete,PrT_gui.csv,The Prioress' Tale 497,Children an heep ycome of Cristen blood,52.79,uS u S uSx u Su S,42,"heep(0), children(1), ycome(1), cristen(1), blood(4)"
151,to_complete,WBPro_gui.csv,The Wife of Bath's Prologue 548,That Jankin clerk and my gossib dame Alis,0.00,       ,42,"alis(0), gossib(0), jankin(0), clerk(4), dame(3)"
152,to_complete,KnT_gui.csv,The Knight's Tale 2500,Gold hewen helmes hauberks cotearmures,5.00,u Su Sx uS uSuSx,42,"cotearmures(0), hauberks(0), helmes(0), hewen(0), gold(8)"
153,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 801,With sterne vois and mighty limes square,50.42,u Su S u Su Su Sx,42,"limes(0), square(0), sterne(0), mighty(3), vois(5)"
154,to_complete,MerT_gui.csv,The Merchant's Tale 1738,Whan tendre youthe hath wedded stouping age,53.24,u Su Sx u Su Su Sx,42,"stouping(0), wedded(0), youthe(2), age(3), tendre(3)"
155,to_complete,PhyT_gui.csv,The Physician's Tale 153,Hoom gooth the cherl that highte Claudius,28.07,u S u S u Su SuS,42,"cherl(0), claudius(0), gooth(0), highte(1), hoom(5)"
156,to_complete,TC1_gui.csv,Troilus and Criseyde; Book I 109,In widewes habit large of samit broun,68.26,u Sux Su Sx u Su S,42,"samit(0), habit(1), widewes(1), broun(2), large(4)"
157,to_complete,MilT_gui.csv,The Miller's Tale 3486,Where wentestow thou Seint Petres soster,18.14,ux SuS u S uS uS,42,"petres(0), soster(0), wentestow(0), where(2), seint(5)"
158,to_complete,TC1_gui.csv,Troilus and Criseyde; Book I 948,Next the foule netle rough and thikke,18.59,u S ux Su S u Su,42,"netle(0), rough(0), foule(0), next(3), thikke(3)"
159,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 1120,Taake in thin hand and put thyself therinne,62.90,ux S u S u S uS uSx,42,"taake(0), therinne(0), hand(2), put(3), thyself(4), thin(7)"
160,to_complete,RvT_gui.csv,The Reeve's Tale 4032,To grinde our corn and carie it ham again,0.00,        ,42,"ham(0), carie(1), grinde(0), corn(1), again(3)"
161,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 1187,Have heer a cloth and wipe awey the wete,56.40,ux S u S u Sx uS u Sx,41,"cloth(0), wete(0), wipe(0), heer(2), awey(5)"
162,to_complete,MkT_gui.csv,The Monk's Tale 2228,Dronke of the same vessels sondry wines,43.75,ux S u Su Su Su Sx,41,"dronke(0), vessels(0), wines(0), same(3), sondry(6)"
163,to_complete,GP_gui.csv,331,Girt with a ceint of silk with barres smale,79.03,u S u S u S u Su Sx,41,"barres(1), ceint(1), girt(1), silk(2), smale(4)"
164,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 1844,First starf and roos and sit in hevene above,54.97,u S u S u S u Sux Sux,41,"above(0), sit(1), starf(1), hevene(3), roos(4)"
165,to_complete,TC4_gui.csv,Troilus and Criseyde; Book IV 972,O welaway so sleie arn clerkes olde,23.85,u SuS u S u Su Sx,41,"sleie(0), welaway(0), arn(0), clerkes(0), olde(5)"
166,to_complete,PF_gui.csv,Parliament of Fowls 246,Within the temple with sighes hote as fir,50.19,uS u Su S ux Sx u S,41,"sighes(0), within(0), temple(2), fir(1), hote(2)"
167,to_complete,LGW_gui.csv,100-ch 2000,To welde an ax or swerd or staf or knif,74.24,u Sx u S u S u S u S,41,"ax(0), welde(0), knif(1), staf(2), swerd(3)"
168,to_complete,MancPro_gui.csv,Prologue to the Manciple's Tale 37,Hold cloos thy mouth man by thy fader kin,63.81,u S u S u S u Su S,41,"kin(0), cloos(1), fader(2), hold(3), mouth(2)"
169,to_complete,PhyT_gui.csv,The Physician's Tale 17,Outher to grave or peinte or forge or bete,60.27,uS u Sx u Sx u Sx u Sx,41,"forge(0), bete(0), peinte(2), grave(3), outher(3)"
170,to_complete,MLT_gui.csv,The Man of Law's Tale 721,She halt hir chambre abiding Cristes wille,55.45,u S u Sx uSu Su Sx,41,"abiding(0), halt(1), wille(2), chambre(2), cristes(3)"
171,to_complete,PF_gui.csv,Parliament of Fowls 683,Saint Valentin that art ful hi onlofte,40.55,u SuS u S u S uSx,41,"onlofte(0), saint(0), valentin(0), hi(1), art(8)"
172,to_complete,NPT_gui.csv,The Nun's Priest's Tale 3015,Bihold my blody woundes depe and wide,68.27,uS u Su Su Sx u Sx,41,"bihold(0), woundes(0), blody(1), depe(2), wide(5)"
173,to_complete,FranT_gui.csv,The Franklin's Tale 1362,Or know myselven fals or lees my name,57.73,u S uSu S u S u Sx,41,"know(0), lees(0), myselven(1), fals(1), name(2)"
174,completed_unvetted,ABC_gui_complete.csv,ABC 180,That neer thy tender hert we weren spilt,52.35,u S u Su S u Su S,41,"spilt(0), tender(0), hert(0), neer(2), weren(6)"
175,to_complete,MerT_gui.csv,The Merchant's Tale 1785,O servant traitour false hoomly hewe,63.25,u Su Su Su Su Sx,41,"servant(0), traitour(0), false(1), hoomly(2), hewe(5)"
176,to_complete,KnT_gui.csv,The Knight's Tale 1983,Wroght al of burned steel of which th entree,42.90,u S u Su S u S  uS,41,"burned(0), entree(1), steel(1), wroght(1), th(4)"
177,to_complete,ShipT_gui.csv,07-0-ch 390,By redy tokne and heeld him evel apaied,0.00,       ,41,"apaied(0), evel(0), tokne(0), heeld(1), redy(7)"
178,to_complete,WBPro_gui.csv,The Wife of Bath's Prologue 176,Than maystow chese whether thou wolt sippe,49.29,u Su Su Su S u Sx,41,"sippe(0), maystow(1), chese(2), wolt(2), whether(4)"
179,to_complete,GP_gui.csv,493,Wid was his parisshe and houses fer asonder,54.08,u S u Sux S ux S uSx,41,"asonder(1), houses(1), parisshe(1), wid(1), fer(5)"
180,to_complete,SumT_gui.csv,The Summoner's Tale 1963,A yif that covent half a quarter otes,39.27,u S u Su S u Su Sx,41,"covent(0), otes(0), quarter(0), half(3), yif(4)"
181,to_complete,RvT_gui.csv,The Reeve's Tale 4108,Comth sely John and with him comth Alein,48.64,u Su S u S u S uS,41,"alein(0), sely(1), comth(2), john(0)"
182,to_complete,TC4_gui.csv,Troilus and Criseyde; Book IV 1139,The woful Mirra through the bark and rinde,67.71,u Su Su S u S u Sx,41,"bark(0), mirra(0), rinde(1), through(3), woful(4)"
183,to_complete,LGW_gui.csv,100-ch 1498,With her meinee endlong uppon the stronde,36.49,u S uS uS uS u Sx,41,"endlong(0), stronde(0), uppon(0), meinee(1), her(1)"
184,to_complete,TC4_gui.csv,Troilus and Criseyde; Book IV 373,Ney deed for smert gan bresten out to rore,38.58,u S u S u Su S u Sx,41,"bresten(0), ney(0), rore(0), smert(0), deed(9)"
185,to_complete,RvT_gui.csv,The Reeve's Tale 3975,With buttoks brode and brestes rounde and hie,55.37,u Su Sx u Su Sx u S,41,"brestes(0), buttoks(0), rounde(0), brode(1), hie(3)"
186,to_complete,ClPro_gui.csv,The Clerk's Prologue 31,Fraunceis Petrark the laureat poete,18.50,uS uS u SuS uSx,40,"fraunceis(0), laureat(0), petrark(0), poete(0)"
187,to_complete,MLT_gui.csv,The Man of Law's Tale 1037,Parfay thoghte he fantome is in myn heed,25.79,uS ux S uSx u S u S,40,"fantome(0), myn(0), parfay(0), thoghte(0)"
188,to_complete,PF_gui.csv,Parliament of Fowls 345,The theef the chogh and eek the jangling pie,47.85,u S u S u S u Su S,40,"chogh(0), jangling(0), pie(0), theef(0)"
189,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 1319,He slily tooke it out this cursed heine,32.44,u Su Sx u S u Su Sx,40,"cursed(0), heine(0), slily(0), tooke(0)"
190,to_complete,KnT_gui.csv,The Knight's Tale 2817,Shrighte Emelie and howleth Palamon,18.01,ux SuS u Su SuS,40,"emelie(0), howleth(0), palamon(0), shrighte(0)"
191,in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 723,The whiche in forme of bole away thou fette,74.35,u Sx u Sx u Sx uS u Sx,40,"fette(0), away(1), bole(1), whiche(2), forme(6)"
192,to_complete,LGW_FPro_gui.csv,The Legend of Good Women; Prologue F 85,That in this derke worlde me wint and ledeth,33.54,u S u Su Sx u S u Sx,40,"derke(0), ledeth(0), wint(0), worlde(0)"
193,to_complete,SNT_gui.csv,The Second Nun's Tale 277,Witnes Tiburces and Valerians shrifte,18.01,uS uSx u SuSu Sx,40,"shrifte(0), tiburces(0), valerians(0), witnes(0)"
194,to_complete,KnT_gui.csv,The Knight's Tale 1246,That ther nis erthe water fir ne eir,45.21,u S u Su Su S u S,40,"eir(0), water(1), erthe(2), nis(1), fir(1)"
195,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 797,Watres rubifying and boles galle,18.01,uS uSuS u Su Sx,40,"boles(0), galle(0), rubifying(0), watres(0)"
196,to_complete,TC1_gui.csv,Troilus and Criseyde; Book I 173,Hir godly looking gladede al the prees,34.60,u Su Su Sux S u S,40,"gladede(0), godly(0), looking(0), prees(0)"
197,to_complete,MLT_gui.csv,The Man of Law's Tale 1150,And findeth hir frendes there hole and sounde,33.01,u Sx u Su Su Sx u Sx,40,"findeth(0), frendes(0), sounde(0), hole(1), there(9)"
198,to_complete,WBPro_gui.csv,The Wife of Bath's Prologue 722,Slepinge his lemman kitte hem with hir sheres,30.46,uSx u Su Sx u S u Sx,40,"kitte(0), lemman(0), sheres(0), slepinge(0)"
199,to_complete,KnT_gui.csv,The Knight's Tale 2145,A wrethe of gold armgreet of huge wighte,50.73,u Sx u S uS u Su Sx,40,"armgreet(0), huge(0), wrethe(0), wighte(1), gold(8)"
200,to_complete,RvPro_gui.csv,The Reeve's Prologue 3884,Avaunting lying anger coveitise,0.00,uSu Su Su SuSx,40,"anger(0), avaunting(0), coveitise(0), lying(0)"
201,to_complete,NPT_gui.csv,The Nun's Priest's Tale 3391,The gees for fere flowen over the trees,39.82,u S u Sx uS uS u S,40,"flowen(0), gees(0), trees(0), fere(4), over(5)"
202,to_complete,FranT_gui.csv,The Franklin's Tale 1397,Wel oghte a wif rather hirselven slee,51.00,u Sx u S uS uSu S,40,"oghte(0), rather(1), hirselven(1), slee(3), wif(3)"
203,to_complete,TC1_gui.csv,Troilus and Criseyde; Book I 87,That Calkas traitor fled was and allied,0.00,      ,40,"allied(0), calkas(0), fled(0), traitor(0)"
204,to_complete,PhyT_gui.csv,The Physician's Tale 16,Apelles Zanzis sholde werche in vein,14.03,uSu Su Su Sx u S,40,"apelles(0), vein(0), werche(0), zanzis(0)"
205,in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 1780,Or elles hunten boor bere or lioun,28.57,u Su Su S ux S uS,40,"boor(0), hunten(0), lioun(0), bere(2), elles(7)"
206,to_complete,MerT_gui.csv,The Merchant's Tale 1807,He drinketh ipocras clarree and vernage,12.82,u Sx uSu Su S uSx,40,"clarree(0), drinketh(0), ipocras(0), vernage(0)"
207,to_complete,WBT_gui.csv,The Wife of Bath's Tale 871,Thropes bernes shipnes dayeries,0.00,uS uS uS uSuS,40,"bernes(0), dayeries(0), shipnes(0), thropes(0)"
208,to_complete,LGW_FPro_gui.csv,The Legend of Good Women; Prologue F 423,That highten balades roundels virelaies,12.81,u Su Sux Su SuSu,40,"balades(0), highten(0), roundels(0), virelaies(0)"
209,to_complete,PF_gui.csv,Parliament of Fowls 358,The waker goos the cukkow most unkinde,36.81,u Su S u Su S uSx,40,"cukkow(0), goos(0), unkinde(0), waker(0)"
210,to_complete,KnT_gui.csv,The Knight's Tale 2007,The nail ydriven in the shode anight,32.39,u S uSu S u Sx uS,40,"anight(0), nail(0), shode(0), ydriven(0)"
211,to_complete,KnT_gui.csv,The Knight's Tale 2916,And twenty fadme of brede the armes straughte,54.01,u Su Sx u Sx u Su Sx,40,"fadme(0), straughte(0), brede(0), armes(4), twenty(5)"
212,to_complete,KnT_gui.csv,The Knight's Tale 2687,And leep aside and foundred as he leep,34.38,u S uSx u Su S u S,40,"aside(0), foundred(0), leep(0)"
213,to_complete,KnT_gui.csv,The Knight's Tale 2790,Wisdom humblesse estaat and heigh kinrede,35.84,uS uSx uS u S uSx,40,"estaat(0), humblesse(0), kinrede(0), wisdom(4), heigh(4)"
214,to_complete,GP_gui.csv,456,I dorste swere they weyeden ten pound,50.35,u Su Sx u SuS u S,40,"pound(1), swere(1), weyeden(1), ten(2), dorste(5)"
215,to_complete,ClT_gui.csv,The Clerk's Tale 981,Abouten undern gan this erl alighte,19.81,uSu Su S u S uSx,40,"abouten(0), alighte(0), erl(0), undern(0)"
216,to_complete,KnT_gui.csv,The Knight's Tale 1931,Festes instruments caroles daunces,0.00,uS uSu SuS uS,40,"caroles(0), daunces(0), festes(0), instruments(0)"
217,in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 674,The void dronke and travers drawe anon,14.64,u S ux S uS ux Su,40,"travers(0), void(0), drawe(1), dronke(0), anon(8)"
218,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 856,Oiles ablucions and metal fusible,1.99,uS uSu S uS uSx,40,"ablucions(0), fusible(0), metal(0), oiles(0)"
219,to_complete,MLT_gui.csv,The Man of Law's Tale 274,Fader she saide thy wrecched child Custance,48.16,uS u Sx u Su S uSx,40,"custance(0), saide(1), wrecched(1), child(0), fader(2)"
220,to_complete,SqT_gui.csv,The Squire's Tale 614,And yeve hem sugre hony breed and milk,58.82,u Sx u Su Su S u S,40,"hony(0), sugre(0), breed(2), milk(2), yeve(6)"
221,to_complete,LGW_FPro_gui.csv,The Legend of Good Women; Prologue F 267,Maketh of your trouth neither boost ne soun,46.08,uS u S u Su S u S,40,"boost(0), trouth(0), maketh(1), soun(3), neither(4)"
222,to_complete,SqT_gui.csv,The Squire's Tale 500,And fostred in a roche of marbul gray,36.63,u Su S u Sx u Su S,40,"fostred(0), gray(0), marbul(0), roche(0)"
223,to_complete,HF_gui.csv,House of Fame 98,That dreme he barfoot dreme he shod,28.29,u Sx u Su Sx u S,40,"barfoot(0), dreme(0), shod(0)"
224,in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 625,Saturne and Jove in Cancro joined were,27.75,uSx u Sx u Su Su Sx,40,"cancro(0), joined(0), jove(0), saturne(0)"
225,to_complete,SqT_gui.csv,The Squire's Tale 321,Bidde him descende and trille another pin,46.87,ux S uSx u Sx uSu S,40,"descende(0), trille(0), pin(1), bidde(3), another(4)"
226,to_complete,RvT_gui.csv,The Reeve's Tale 3995,For which this miller stal both mele and corn,55.01,u S u Su S u Sx u S,40,"stal(0), mele(0), miller(1), corn(1), both(0)"
227,to_complete,ClT_gui.csv,The Clerk's Tale 1189,Folweth Ekko that holdeth no silence,16.04,uS uS u Su S uSx,40,"ekko(0), folweth(0), holdeth(0), silence(0)"
228,to_complete,PardT_gui.csv,The Pardoner's Tale 479,Singers with harpes baudes wafereres,12.58,uS u Su Su SuSx,40,"baudes(0), harpes(0), singers(0), wafereres(0)"
229,in_progress,BD_gui_in_progress.csv,Book of the Duchess 47,And bade one reche me a booke,32.73,u Sx ux Su S u Sx,40,"bade(0), booke(0), one(0), reche(0)"
230,to_complete,RvT_gui.csv,The Reeve's Tale 4088,Why nadstow pit the capul in the lathe,34.59,u Su S u Su S u Sx,40,"capul(0), lathe(0), nadstow(0), pit(0)"
231,to_complete,FranT_gui.csv,The Franklin's Tale 926,Daunced a squier biforen Dorigen,18.35,uS u Su SuS uSu,40,"biforen(0), daunced(0), dorigen(0), squier(0)"
232,to_complete,RvT_gui.csv,The Reeve's Tale 3933,A Sheffeld thwitel baar he in his hose,35.33,u Su Su S u S u Sx,40,"baar(0), hose(0), sheffeld(0), thwitel(0)"
233,to_complete,LGW_gui.csv,100-ch 648,He poureth pesen upon the hacches slider,36.27,u Su xS uS u Su Sx,40,"hacches(0), pesen(0), poureth(0), slider(0)"
234,to_complete,SNT_gui.csv,The Second Nun's Tale 430,In oo demande ye axed lewedly,19.98,u S uSx u Su SuS,40,"axed(0), demande(0), lewedly(0), oo(0)"
235,to_complete,SqT_gui.csv,The Squire's Tale 259,On ebbe on flood on gossomer and on mist,19.93,u Sx u S u Sux S u S,40,"ebbe(0), flood(0), gossomer(0), mist(0)"
236,to_complete,PrT_gui.csv,The Prioress' Tale 641,And songO Alma redemptoris mater,18.01,u Su Su SuSu Sx,40,"alma(0), mater(0), redemptoris(0), songo(0)"
237,to_complete,LGW_gui.csv,100-ch 1219,The thunder rored with a grisly steven,31.61,u Su Su S u Su Su,40,"grisly(0), rored(0), steven(0), thunder(0)"
238,to_complete,TC1_gui.csv,Troilus and Criseyde; Book I 509,Now artow hent now gnaw thin owene cheine,50.60,u Su S u S u Sux Sx,40,"gnaw(0), hent(0), artow(0), cheine(1), owene(9), thin(7)"
239,to_complete,WBT_gui.csv,The Wife of Bath's Tale 1168,Redeth Senek and redeth eek Boce,25.53,uS uS u Su S ux,40,"boce(0), redeth(0), senek(0)"
240,to_complete,ShipT_gui.csv,07-0-ch 439,A ha felaws beth ware of swiche a jape,68.32,u S uS u Sx u Sx u Sx,40,"felaws(0), ware(1), ha(2), beth(3), jape(6), swiche(7)"
241,to_complete,FranT_gui.csv,The Franklin's Tale 1061,The hyest rokke in Armorik Briteine,25.13,u Su Sx u SuS uSx,40,"armorik(0), briteine(0), hyest(0), rokke(0)"
242,to_complete,WBPro_gui.csv,The Wife of Bath's Prologue 466,A likerous mouth moste han a likerous tail,39.36,u Sxu S ux S u Sxu S,40,"likerous(0), tail(0), mouth(2), moste(6)"
243,in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 299,Proverbes canst thyself ynowe and wost,65.01,uSu S uS uSx u S,40,"proverbes(0), ynowe(0), canst(1), wost(4), thyself(4)"
244,to_complete,SumT_gui.csv,The Summoner's Tale 1934,Lo buf they sey cor meum eructavit,30.04,u S u S u S uSuS,40,"buf(0), cor(0), eructavit(0), meum(0)"
245,to_complete,PF_gui.csv,Parliament of Fowls 289,Biblis Dido Thisbe and Piramus,1.99,uS uS ux S uSu,40,"biblis(0), dido(0), piramus(0), thisbe(0)"
246,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 863,Elixir clept we sechen faste echoon,25.75,uSu S u Su Sx uS,40,"clept(0), echoon(0), elixir(0), sechen(0)"
247,to_complete,KnT_gui.csv,The Knight's Tale 2617,He thurgh the body is hurt and sithen ytake,48.47,u S u Sx u S u Su Sux,40,"hurt(0), ytake(0), body(1), sithen(1), thurgh(8)"
248,in_progress,BD_gui_in_progress.csv,Book of the Duchess 429,Of fawnes sowres bukkes does,13.91,u Su Su Sx uS,40,"bukkes(0), does(0), fawnes(0), sowres(0)"
249,to_complete,PF_gui.csv,Parliament of Fowls 180,The sheter ew the asp for shaftes pleine,43.57,u Su S u S u Su Sx,40,"shaftes(0), sheter(0), asp(0), ew(0), pleine(8)"
250,to_complete,KnT_gui.csv,The Knight's Tale 2511,Pipes trompes nakers clariounes,0.00,uS uS uS uSuS,40,"clariounes(0), nakers(0), pipes(0), trompes(0)"
251,to_complete,CkPro_gui.csv,The Cook's Prologue 4347,And many a Jakke of Dovere hastow sold,34.70,u Sx u Sx u Sux Su S,40,"dovere(0), hastow(0), jakke(0), sold(0)"
252,to_complete,FriT_gui.csv,The Friar's Tale 1609,Kith youre almesse on me povre wrecche,37.64,u Sx uSu S u Su Sx,39,"almesse(0), kith(0), wrecche(3), youre(3), povre(5)"
253,to_complete,KnT_gui.csv,The Knight's Tale 2506,The fomy stedes on the golden bridel,20.23,u Su Sx u S uS uS,39,"fomy(0), golden(0), stedes(0), bridel(1)"
254,to_complete,LGW_gui.csv,100-ch 1652,With Medea and tresor ful gret woon,24.38,u SuS u Su S u S,39,"medea(0), tresor(0), woon(0), gret(1)"
255,to_complete,PF_gui.csv,Parliament of Fowls 343,The oule eek that of dethe the bode bringeth,49.18,u Su S u S xx u Su Sx,39,"bode(0), dethe(0), oule(0), bringeth(1)"
256,to_complete,MerT_gui.csv,The Merchant's Tale 1786,Lik to the naddre in bosom sly untrewe,46.07,u S u Sx u Su S uSx,39,"naddre(0), sly(0), bosom(1), untrewe(2), lik(8)"
257,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 827,Mars iren Mercurie quiksilver we clepe,34.20,u Su SuS uSx u Sx,39,"mercurie(0), quiksilver(1), clepe(3), iren(2), mars(3)"
258,to_complete,KnT_gui.csv,The Knight's Tale 1236,Ful blisfully in prison maistow dure,40.09,u SuS u Su Su Sx,39,"blisfully(0), dure(0), maistow(0), prison(1)"
259,to_complete,LGW_gui.csv,100-ch 592,And ovir all this the sustre of Cesare,35.93,u Su S u S ux S uSx,39,"cesare(0), ovir(0), sustre(0), all(1)"
260,to_complete,PF_gui.csv,Parliament of Fowls 610,Ye have the glotoun fild ynogh his paunche,49.84,u Sx u Su S uS u Sx,39,"fild(0), glotoun(0), paunche(0), ynogh(1)"
261,to_complete,RvPro_gui.csv,The Reeve's Prologue 3865,With blering of a proud milleres eye,40.73,u Su S u S uSu S,39,"blering(0), milleres(0), proud(0), eye(1)"
262,to_complete,KnT_gui.csv,The Knight's Tale 2135,His limes grete his braunes harde and stronge,36.49,u Su Sx u Su Sx u Sx,39,"braunes(0), harde(1), limes(0), stronge(0), grete(8)"
263,to_complete,CkPro_gui.csv,The Cook's Prologue 4357,But sooth pley quaad pley as the Fleming seith,43.52,u S u S u S u Su S,39,"fleming(0), quaad(0), pley(1), seith(9)"
264,to_complete,PF_gui.csv,Parliament of Fowls 686,That hast this wintres weders overshake,37.37,u S u Su Su SuSx,39,"overshake(0), weders(0), wintres(0), hast(1)"
265,to_complete,NPT_gui.csv,The Nun's Priest's Tale 3200,Madame Pertelot my worldes blis,17.57,uSu SuS u Su S,39,"blis(0), pertelot(0), worldes(0), madame(1)"
266,to_complete,PrPro_gui.csv,The Prioress' Prologue 467,O moder maide O maide moder free,79.85,u Su Sx u Su Su S,39,"moder(1), maide(2), free(5)"
267,to_complete,SqT_gui.csv,The Squire's Tale 631,And swowned eft in Canaces barme,41.38,u Su S u SuS ux,39,"barme(0), canaces(0), swowned(0), eft(1)"
268,to_complete,FranT_gui.csv,The Franklin's Tale 1453,O Teuta queen thy wifly chastitee,27.07,u Su S u Su SuS,39,"chastitee(0), teuta(0), wifly(0), queen(0)"
269,to_complete,SNT_gui.csv,The Second Nun's Tale 275,Seinte Cecile fulfild of Goddes yifte,10.63,ux Sux Su S uS ux,39,"cecile(0), yifte(0), fulfild(1), seinte(3), goddes(7)"
270,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 914,And somme are scatered al the floor aboute,42.15,u Sx ux Sux S u S uSx,39,"are(0), floor(0), scatered(0), somme(0), aboute(9)"
271,in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 298,Of wommen lost thorugh fals and foles bost,37.81,u Su S u S u Su S,39,"bost(0), foles(0), lost(0), fals(1), thorugh(7), wommen(8)"
272,to_complete,HF_gui.csv,House of Fame 691,Ymaad then greines be of sondes,19.37,uS u Su S u Sx,39,"greines(0), sondes(0), ymaad(0), then(0)"
273,to_complete,PardT_gui.csv,The Pardoner's Tale 465,As riot hasard stewes and tavernes,43.67,u Su Su Sx u SuS,39,"hasard(0), riot(0), stewes(0), tavernes(1)"
274,to_complete,MkT_gui.csv,The Monk's Tale 2418,That he bad greithe his char ful hastily,32.69,u S u Sx u S u SuS,39,"char(0), greithe(0), hastily(0), bad(1)"
275,to_complete,KnT_gui.csv,The Knight's Tale 2030,Hanginge by a sotil twines threed,24.35,uSu S u Su Su S,39,"sotil(0), threed(0), twines(0), hanginge(1)"
276,to_complete,SumT_gui.csv,The Summoner's Tale 1877,Lazar and Dives liveden diversly,18.01,uS u Su Sxu SuS,39,"diversly(0), dives(0), liveden(0), lazar(1)"
277,to_complete,WBT_gui.csv,The Wife of Bath's Tale 1134,If gentiless wer planted naturelly,10.75,u SuS u Sx uSuS,39,"gentiless(0), naturelly(0), planted(0), wer(0)"
278,to_complete,KnT_gui.csv,The Knight's Tale 2299,Quene of the regne of Pluto derk and lowe,63.14,ux S u Sx u Su S u Sx,39,"pluto(0), derk(1), quene(1), regne(1), lowe(7)"
279,to_complete,KnT_gui.csv,The Knight's Tale 2466,I slow Sampsoun in shaking the piler,19.36,u S uS u Su S uS,39,"piler(0), sampsoun(0), shaking(0), slow(0)"
280,to_complete,SqT_gui.csv,The Squire's Tale 409,Amidde a tree for drie as whit as chalk,64.36,uSx u S u S u S u S,39,"amidde(0), chalk(0), drie(1), tree(2), whit(5)"
281,to_complete,SumT_gui.csv,The Summoner's Tale 2257,Twelf spokes hath a cartwheel comunly,24.11,u Su S u Su SuS,39,"cartwheel(0), comunly(0), spokes(0), twelf(0)"
282,to_complete,MkT_gui.csv,The Monk's Tale 2144,The glorious ceptre and royal magestee,17.07,u SuS ux S uS uxS,39,"glorious(0), magestee(0), royal(0), ceptre(0)"
283,to_complete,PF_gui.csv,Parliament of Fowls 181,The olive of pees and eek the drunken vine,19.61,u Sux S u S u S uS ux,39,"drunken(0), olive(0), vine(0), pees(1)"
284,to_complete,ClT_gui.csv,The Clerk's Tale 744,The Popes bulles making mencioun,18.50,u Su Su Su SuS,39,"bulles(0), mencioun(0), popes(0), making(0)"
285,to_complete,KnT_gui.csv,The Knight's Tale 1920,The broken slepes and the sikes colde,42.13,u Su Su S u Su Sx,39,"broken(0), sikes(0), slepes(0), colde(1)"
286,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 443,Delicious through wind or touche of corde,38.56,uSuS u S u Sx u Sx,39,"corde(0), delicious(0), touche(1), through(3), wind(5)"
287,to_complete,RvT_gui.csv,The Reeve's Tale 4022,Alein spak first Al hail Simond yfaith,15.88,uS u S u S uS uS,39,"hail(0), yfaith(0), simond(0), alein(0), spak(8)"
288,to_complete,PardPro_gui.csv,The Pardoner's Prologue 355,That any worm hath ete or worm ystonge,49.17,u Su S u Sx u S uSx,39,"worm(0), ystonge(0), ete(1)"
289,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 208,He cursed Ceres Bacus and Cipride,12.82,u Su Su Su S uSx,39,"bacus(0), ceres(0), cipride(0), cursed(0)"
290,to_complete,MkT_gui.csv,The Monk's Tale 2261,Leouns lepardes and beres al torente,25.96,uS uSx u Su S uSx,39,"leouns(0), lepardes(0), torente(0), beres(0)"
291,to_complete,PardT_gui.csv,The Pardoner's Tale 534,O wombe O bely O stinking cod,25.64,u Su S uS u Su S,39,"bely(0), cod(0), wombe(0), stinking(0)"
292,to_complete,LGW_gui.csv,100-ch 775,Had dryed up the dew of herbes wete,38.19,u Su S u S u Su Sx,39,"dew(0), dryed(0), herbes(0), wete(0)"
