OG_OXFORD_TEXT,OXFORD_TEXT,GREEN_SCANSION,GREEN_SYLLABLES,V1_SCANSION,V1_SYLLABLES,V1_MATCHES_GREEN,V1_CONFIDENCE
But only that ye make him bettre chere,But only that ye make him bettre chere,u Su S u Sx u Su Sx,10,u Su S u Sx u Su Sx,10,1,74.85
"Than ye han doon er this, and more feste",Than ye han doon er this and more feste,u S u S u S u Su Sx,10,u S u S u S u Su Sx,10,1,61.61
"So that his lif be saved, at the leste:",So that his lif be saved at the leste,u S u S u Su S u Sx,10,u S u S u Su S u Sx,10,1,75.46
"This al and som, and plainly our entente;",This al and som and plainly our entente,u S u S u Su S uSx,10,u S u S u Su S uSx,10,1,72.41
"God helpe me so, I never other mente.",God helpe me so I never other mente,u Sx u S u Su Su Sx,10,u Sx u S u Su Su Sx,10,1,57.05
"“Lo, this request is not but skile, y-wis",Lo this request is not but skile ywis,u S uS u S u Sx uS,10,u S uS u S u Sx uS,10,1,79.57
"Ne doute of reson, pardee, is ther noon.",Ne doute of reson pardee is ther noon,u Sx u Su Su S u S,10,u Sx u Su Su S u S,10,1,72.72
"I set the worste, that ye dredden this",I set the worste that ye dredden this,u S u Su S u Su S,10,u S u Su S u Su S,10,1,65.63
Men wolden wondren seen him come or goon:,Men wolden wondren seen him come or goon,u Su Su S u Sx u S,10,u Su Su S u Sx u S,10,1,85.06
Ther ayeins answere I thus anoon,Ther ayeins answere I thus anoon,S uSu Sxx u S uS,9,S uS uSx u S uS,9,0,54.70
"That every wight, but he be fool of kinde",That every wight but he be fool of kinde,u Sxu S u S u S u Sx,10,u Su S u S u S u Sx,10,1,72.13
Wol deme it love of freendship in his minde.,Wol deme it love of freendship in his minde,u Sx u Sx u Su S u Sx,10,u Sx u Sx u Su S u Sx,10,1,72.69
"“What? who wol deme, though he see a man",What who wol deme though he see a man,u S u Su S u S u S,10,u S u Su S u S u S,10,1,65.72
"To temple go, that he th’images eteth?",To temple go that he th images eteth,u Su S u S ux Su Sx,10,u Su S u S  uSu Sx,10,0,50.18
Thenk eek how wel and wisly that he can,Thenk eek how wel and wisly that he can,u S u S u Su S u S,10,u S u S u Su S u S,10,1,74.57
"Governe himself, that he no thing foryeteth",Governe himself that he no thing foryeteth,uSx uS u S u S uSx,10,uSx uS u S u S uSux,11,0,63.82
"That, wher he cometh, he pris and thank him geteth;",That wher he cometh he pris and thank him geteth,u S u Sx u S u S u Sx,10,u S u Sx u S u S u Sx,10,1,74.62
"And eek therto, he shal come here so selde",And eek therto he shal come here so selde,u S uS u S ux Sx u Sx,10,u S uS u S ux Sx u Sx,10,1,66.14
What fors were it though al the toun behelde?,What fors were it though al the toun behelde,u S ux S u S u S uSx,10,u S ux S u S u S uSx,10,1,67.69
“Swich love of freendes regneth al this toun;,Swich love of freendes regneth al this toun,u Sx u Su Su S u S,10,u Sx u Su Su S u S,10,1,77.96
And wrie yow in that mantel evermo;,And wrie yow in that mantel evermo,u S u S u Su SuS,10,u S u S u Su SuS,10,1,70.67
"And, God so wis be my savacioun",And God so wis be my savacioun,u S u S u S uSuS,10,u S u S u S uSuS,10,1,72.81
"As I have seid, your beste is to do so.",As I have seid your beste is to do so,u S ux S u Sx u S u S,10,u S ux S u Sx u S u S,10,1,50.80
"But, goode nece, alwey to stinte his wo",But goode nece alwey to stinte his wo,u Su Sx uS u Sx u S,10,u Su Sx uS u Sx u S,10,1,71.54
So lat your daunger sucred ben a lite,So lat your daunger sucred ben a lite,u S u Su Su S u Sx,10,u S u Su Su S u Sx,10,1,80.90
That of his deeth ye be nought for to wite.”,That of his deeth ye be nought for to wite,u S u S u S u S u Sx,10,u S u S u S u S u Sx,10,1,64.21
"Criseyde, which that herde him in this wise, T",Criseyde which that herde him in this wise,uSu S u Sx u S u Sx,10,uSu S u Sx u S u Sx,10,1,57.53
"houghte, “I shal fele what he meneth, ywis.”",Thoughte I shal fele what he meneth ywis,ux S u Su S u Sx uS,10,ux S u Su S u Sx uS,10,1,47.01
"“Now, eem,” quod she, “what wolde ye devise",Now eem quod she what wolde ye devise,u S u S u Su S uSx,10,u S u S u Su S uSx,10,1,65.25
What is your reed I sholde doon of this?”,What is your reed I sholde doon of this,u S u S u Su S u S,10,u S u S u Su S u S,10,1,64.61
"“That is wel seid,” quod he, “certain, best is",That is wel seid quod he certain best is,u S u S u S uS u S,10,u S u S u S uS u S,10,1,57.24
That ye him love ayein for his lovinge,That ye him love ayein for his lovinge,u S u Sx uS u S uSx,10,u S u Sx uS u S uSx,10,1,67.93
As love for love is skilful guerdoninge.,As love for love is skilful guerdoninge,u Sx u Sx u Su SuSx,10,u Sx u Sx u Su SuSx,10,1,83.41
"“Thenk eek, how elde wasteth every houre",Thenk eek how elde wasteth every houre,u S u Su Su Su Sx,10,u S u Su Su Su Sx,10,1,90.40
In eche of yow a party of beautee;,In eche of yow a party of beautee,u Sx u S u Su S uS,10,u Sx u S u Su S uS,10,1,64.41
"And therfore, er that age thee devoure",And therfore er that age thee devoure,u Sux S u Su S uSx,10,u Sux S u Su S uSx,10,1,60.65
"Go love, for, old, ther wol no wight of thee.",Go love for old ther wol no wight of thee,u Sx u S u S u S u S,10,u Sx u S u S u S u S,10,1,74.76
Lat this proverbe a lore unto yow be;,Lat this proverbe a lore unto yow be,u S uSx u Sx uS u S,10,u S uSx u Sx uS u S,10,1,67.45
"‘To late ywar,’ quod Beautee, ‘whan it paste;",To late ywar quod Beautee whan it paste,u Sx uS u Su S u Sx,10,u Sx uS u Su S u Sx,10,1,78.93
And elde daunteth daunger at the laste.’,And elde daunteth daunger at the laste,u Su Su Su S u Sx,10,u Su Su Su S u Sx,10,1,90.03
“The kinges fool is wont to cryen loude,The kinges fool is wont to cryen loude,u Su S u S u Su Sx,10,u Su S u S u Su Sx,10,1,87.50
Whan that him thinketh a womman bereth hir hiё,Whan that him thinketh a womman bereth hir hi,u S u Sx u Su S u S,10,u S u Sx u Su Sx u S,10,1,67.14
"‘So longe mote ye live, and alle proude",So longe mote ye live and alle proude,u Su Sx u Sx u Su Sx,10,u Su Sx u Sx u Su Sx,10,1,75.11
Til crowes feet be growe under your yё,Til crowes feet be growe under your y,u Su S u Sx uS u S,10,u Su S u Sx uS u S,10,1,90.62
And send yow thanne a mirour in to prië,And send yow thanne a mirour in to pri,u S u Sx u Su S u S,10,u S u Sx u Su S u S,10,1,75.57
In which that ye may see your face amorwe!’,In which that ye may see your face amorwe,u S u S u S u Sx uSx,10,u S u S u S u Sx uSx,10,1,67.77
"Nece, I bidde wish yow no more sorwe.”",Nece I bidde wish yow no more sorwe,Sx u Su S u S u Su,10,Sx u Su S u S ux Sx,9,0,43.92
"With this he stente, and caste adoun the heed",With this he stente and caste adoun the heed,u S u Sx u Sx uS u S,10,u S u Sx u Sx uS u S,10,1,78.64
And she bigan to breste awepe anoon.,And she bigan to breste awepe anoon,u S uS u Sx uSx uS,10,u S uS u Sx uSx uS,10,1,86.50
"And seide, “Allas, for wo! why nere I deed?",And seide Allas for wo why nere I deed,u Sx uS u S u Sx u S,10,u Sx uS u S u Sx u S,10,1,77.35
For of this world the feith is al agoon!,For of this world the feith is al agoon,u S u S u S u S uS,10,u S u S u S u S uS,10,1,68.36
Allas! what sholden straunge to me doon,Allas what sholden straunge to me doon,uS u Su Su S u S,10,uS u Su Su S u S,10,1,61.87
"When he, that for my beste freend I wende",When he that for my beste freend I wende,u S u S u Su S u Sx,10,u S u S u Su S u Sx,10,1,65.06
"Ret me to love, and sholde it me defende?",Ret me to love and sholde it me defende,u S u Sx u Sx u S uSx,10,u S u Sx u Sx u S uSx,10,1,76.09
"“Allas! I wolde han trusted, doutelees",Allas I wolde han trusted doutelees,uS u Sx u Su SuS,10,uS u Sx u Su SuS,10,1,80.48
"That if that I, thurgh my disaventure",That if that I thurgh my disaventure,u S u S u S uSuSx,10,u S u S u S uSuSx,10,1,53.19
Had loved other him or Achilles,Had loved other him or Achilles,u Su Su S u SuS,10,u Su Su S u SuS,10,1,78.43
"Ector, or any mannes creature",Ector or any mannes creature,uS u Su Su SuSx,10,uS u Su Su SuSx,10,1,81.33
Ye nolde han had no mercy ne mesure,Ye nolde han had no mercy ne mesure,u Sx u S u Su S uSx,10,u Sx u S u Su S uSx,10,1,59.57
"On me, but alwey had me in repreve;",On me but alwey had me in repreve,u S u Su S u S uSx,10,u S u Su S u S uSx,10,1,55.94
"This false world, allas! who may it leve?",This false world allas who may it leve,u Su S uS u S u Sx,10,u Su S uS u S u Sx,10,1,78.40
“What? is this al the joye and al the feste?,What is this al the joye and al the feste,u S u S u Su S u S xx,10,u S u S u S u S u Sx,10,0,68.14
"Is this your reed, is this my blisful cas?",Is this your reed is this my blisful cas,u S u S u S u Su S,10,u S u S u S u Su S,10,1,69.26
Is this the verray mede of your beheste?,Is this the verray mede of your beheste,u S u Su Sx u S uSx,10,u S u Su Sx u S uSx,10,1,70.39
"Is al this peinted proces seid, allas!",Is al this peinted proces seid allas,u S u Su Su S uS,10,u S u Su Su S uS,10,1,79.99
"Right for this fin? O lady min, Pallas!",Right for this fin O lady min Pallas,u S u S u Su S uS,10,u S u S u Su S uS,10,1,66.76
Thou in this dredful cas for me purveie;,Thou in this dredful cas for me purveie,u S u Su S u S uS,10,u S u Su S u S uS,10,1,68.68
For so astonied am I that I deie!”,For so astonied am I that I deie,u S uSu S u S u S,10,u x SuSu S u S u S,10,0,51.42
With that she gan ful sorwfully to sike;,With that she gan ful sorwfully to sike,u S u S u SuS u Sx,10,u S u S u SuS u Sx,10,1,66.88
“A! may it be no bet?” quod Pandarus;,A may it be no bet quod Pandarus,u S u S u S u SuS,10,u S u S u S u SuS,10,1,76.92
"“By God, I shal nomore com here this wike",By God I shal nomore com here this wike,u S u S uSx u Sx u Sx,10,u S u S uSx u Sx u Sx,10,1,75.95
"And God toforn, that am mistrusted thus;",And God toforn that am mistrusted thus,u S uS u S uSu S,10,u S uS u S uSu S,10,1,83.01
I see ful wel that ye set lite of us,I see ful wel that ye set lite of us,u S u S u S u Sx u S,10,u S u S u S u Sx u S,10,1,63.35
Or of our deeth! Allas! I woful wrecche!,Or of our deeth Allas I woful wrecche,u S u S uS u Su Sx,10,u S u S uS u Su Sx,10,1,78.63
"Mighte he yet live, of me were nought to recche.",Mighte he yet live of me were nought to recche,ux S u Sx u x Su S u Sx,10,ux S u Sx u S ux S u Sx,10,0,61.21
"“O cruel god, O dispitouse Marte",O cruel god O dispitouse Marte,u Su S u SuSu Sx,10,u Su S u SuSu Sx,10,1,87.26
"O furies three of helle, on yow I crie!",O furies three of helle on yow I crie,u Su S u Sx u S u S,10,u SuS u S ux S u S u,11,0,27.54
So lat me never out of this hous departe,So lat me never out of this hous departe,u S x S u S u S uSx,9,u S u S u S u S uSx,10,0,60.05
If that I mente harm or vilanie!,If that I mente harm or vilanie,u S u Su S u SuS,10,u S u Su S u SuS,10,1,70.98
But sith I see my lord mot nedes die,But sith I see my lord mot nedes die,u S u S u S u Su S,10,u S u S u S u Su S,10,1,90.79
"And I with him, here I me shrive, and seye",And I with him here I me shrive and seye,u S u S ux S u Sx u S,10,u S u S ux S u Sx u S,10,1,57.83
That wikkedly ye doon us bothe deie.,That wikkedly ye doon us bothe deie,u SuS u S u Su S,10,u SuS u S u Su S,10,1,76.95
“But sith it liketh yow that I be deed,But sith it liketh yow that I be deed,u S u Su S u S u S,10,u S u Su S u S u S,10,1,71.68
"By Neptunus, that god is of the see",By Neptunus that god is of the see,u SuS u S u S u S,10,u SuS u S u S u S,10,1,70.56
Fro this forth shal I never eten breed,Fro this forth shal I never eten breed,u S u S u Su Su S,10,u S u S u Su Su S,10,1,64.05
Til I min owene herte blood may see;,Til I min owene herte blood may see,u S u Sux Su S u S,10,u S u Sux Su S u S,10,1,68.35
"For certain, I wole deie as sone as he.” —",For certain I wole deie as sone as he,u Su S ux S u Sx u S,10,u Su S ux S u Sx u S,10,1,61.13
"And up he sterte, and on his wey he raughte",And up he sterte and on his wey he raughte,u S u Sx u S u S u Sx,10,u S u Sx u S u S u Sx,10,1,83.65
Til she again him by the lappe caughte.,Til she again him by the lappe caughte,u S uS u S u Su Sx,10,u S uS u S u Su Sx,10,1,71.01
"Criseyde, which that wel neigh starf for fere",Criseyde which that wel neigh starf for fere,uSu S u S u S u Sx,10,uSu S u S u S u Sx,10,1,61.82
So as she was the ferfulleste wight,So as she was the ferfulleste wight,u S u S u SuSu S,10,u S u S u SuSu S,10,1,69.87
"That mighte be, and herde eek with hir ere",That mighte be and herde eek with hir ere,u Su S u Sx u S u Sx,10,u Su S u Sx u S u Sx,10,1,63.89
And saw the sorwful ernest of the knight,And saw the sorwful ernest of the knight,u S u Su Su S u S,10,u S u Su Su S u S,10,1,82.45
And in his preiere eek saw noon unright,And in his preiere eek saw noon unright,u S u Sux S u S uS,10,u S u Sux S u S uS,10,1,71.87
And for the harm that mighte eek fallen more,And for the harm that mighte eek fallen more,u S u S u Sx u Su Sx,10,u S u S u Sx u Su Sx,10,1,66.29
"She gan to rewe, and dradde hir wonder sore;",She gan to rewe and dradde hir wonder sore,u S u Sx u Sx u Su Sx,10,u S u Sx u Sx u Su Sx,10,1,81.20
"And thoughte thus, “Unhappes fallen thikke",And thoughte thus Unhappes fallen thikke,u Su S uSu Su Sx,10,u Su S uSu Su Sx,10,1,80.61
"Alday for love, and in swich maner cas",Alday for love and in swich maner cas,uS u Sx u S u Su S,10,uS u Sx u S u Su S,10,1,70.17
As men ben cruel in hemself and wikke;,As men ben cruel in hemself and wikke,u S u Su S uS u Sx,10,u S u Su S uS u Sx,10,1,73.40
"And if this man slee here himself, allas!",And if this man slee here himself allas,u S u S u Sx uS uS,10,u S u S u Sx uS uS,10,1,73.77
"In my presence, it wol be no solas.",In my presence it wol be no solas,u S uSx u S u S uS,10,u S uSx u S u S uS,10,1,60.51
What men wolde of it deme I can nat seye;,What men wolde of it deme I can nat seye,u S ux S u Sx u S u S,10,u S ux S u Sx u S u S,10,1,55.76
It nedeth me ful sleyly for to pleie.”,It nedeth me ful sleyly for to pleie,u Su S u Su S u S,10,u Su S u Su S u S,10,1,77.48
And with a sorwful sik she seide thrie,And with a sorwful sik she seide thrie,u S u Su S u Su S,10,u S u Su S u Su S,10,1,76.66
“A! Lord! what me is tid a sory chaunce!,A Lord what me is tid a sory chaunce,u S u S u S u Su Sx,10,u S u S u S u Su Sx,10,1,80.65
For min estat now lith in jupartie,For min estat now lith in jupartie,u S uS u S u SuS,10,u S uS u S u SuS,10,1,74.24
And eek min emes lif lith in balaunce;,And eek min emes lif lith in balaunce,u S u Su S u S uSx,10,u S u Su S u S uSx,10,1,71.04
"But nathelees, with gode governaunce",But nathelees with gode governaunce,u SuS u Su SuSx,10,u SuS u Su SuSx,10,1,85.64
"I shal so doon, min honour shal I kepe",I shal so doon min honour shal I kepe,u S u S u Su S u Sx,10,u S u S u Su S u Sx,10,1,69.91
And eek his lif”; and stinte for to wepe.,And eek his lif and stinte for to wepe,u S u S u Su S u Sx,10,u S u S u Su S u Sx,10,1,71.28
"“Of harmes two, the lesse is for to chese;",Of harmes two the lesse is for to chese,u Su S u Sx u S u Sx,10,u Su S u Sx u S u Sx,10,1,78.98
Yet have I lever maken him good chere,Yet have I lever maken him good chere,u Sx u Su Su S u Sx,10,u Sx u Su Su S u Sx,10,1,67.48
"In honour, than min emes lif to lese;",In honour than min emes lif to lese,u Su S u Su S u Sx,10,u Su S u Su S u Sx,10,1,74.96
"Ye seyn, ye no thing elles me requere?”",Ye seyn ye no thing elles me requere,u S u S u Su S uSx,10,u S u S u Su S uSx,10,1,66.13
"“No, wis,” quod he, “min owene nece dere.”",No wis quod he min owene nece dere,u S u S u Sux Su Sx,10,u S u S u Sux Su Sx,10,1,71.70
"“Now wel,” quod she, “and I wol doon my peine;",Now wel quod she and I wol doon my peine,u S u S u S u S u Sx,10,u S u S u S u S u Sx,10,1,71.50
I shal min herte ayeins my lust constreine,I shal min herte ayeins my lust constreine,u S u Sx uS u S uSx,10,u S u Sx uS u S uSx,10,1,75.17
“But that I nil not holden him in honde,But that I nil not holden him in honde,u S u S u Su S u Sx,10,u S u S u Su S u Sx,10,1,70.38
"Ne love a man, ne can I not, ne may",Ne love a man ne can I not ne may,u Sx u S u S u S u S,10,u Sx u S u S u S u S,10,1,76.98
Ayeins my wil; but elles wol I fonde,Ayeins my wil but elles wol I fonde,uS u S u Su S u Sx,10,uS u S u Su S u Sx,10,1,85.21
"Min honour sauf, plese him fro day to day;",Min honour sauf plese him fro day to day,u Su S ux S u S u S,10,u Su S ux S u S u S,10,1,76.23
Therto nolde I nought ones have seid nay,Therto nolde I nought ones have seid nay,uS ux S u Su Sx u S,10,uS ux S u Su Sx u S,10,1,49.29
"But that I dredde, as in my fantasie;",But that I dredde as in my fantasie,u S u Sx u S u SuS,10,u S u Sx u S u SuS,10,1,74.91
"But cesse cause, ay cesseth maladie.",But cesse cause ay cesseth maladie,u Su Sx u Su SuS,10,u Su Sx u Su SuS,10,1,75.54
“And here I make a protestacioun,And here I make a protestacioun,u Sx u Sx u SuSuS,10,u Sx u Sx u SuSuS,10,1,84.19
That in this proces if ye depper go,That in this proces if ye depper go,u S u Su S u Su S,10,u S u Su S u Su S,10,1,67.92
"That certainly, for no savacioun",That certainly for no savacioun,u SuS u S uSuS,10,u SuS u S uSuS,10,1,72.34
"Of yow, though that ye sterve bothe two",Of yow though that ye sterve bothe two,u S u S u Su Su S,10,u S u S u Su Su S,10,1,50.55
Though al the world on o day be my fo,Though al the world on o day be my fo,u S u S u S u S u S,10,u S u S u S u S u S,10,1,59.95
Ne shal I never on him han other routhe.”—,Ne shal I never on him han other routhe,u S u S u S u Su Sx,10,u S u S u S u Su Sx,10,1,64.35
"“I graunte wel,” quod Pandare, “by my trouthe.",I graunte wel quod Pandare by my trouthe,u Sx u S uSu S u Sx,10,u Sx u S uSu S u Sx,10,1,57.53
"“But may I truste wel therto,” quod he",But may I truste wel therto quod he,u S u Su S uS u S,10,u S u Su S uS u S,10,1,64.49
"“That, of this thing that ye han hight me here",That of this thing that ye han hight me here,u S u S u S u S u Sx,10,u S u S u S u S u Sx,10,1,63.53
Ye wol it holden trewly unto me?”,Ye wol it holden trewly unto me,u S u Su Su Su S,10,u S u Su Su Su S,10,1,66.72
"“Ye, doutelees,” quod she, “min uncle dere.”",Ye doutelees quod she min uncle dere,u SuS u S u Su Sx,10,u SuS u S u Su Sx,10,1,70.77
"“Ne that I shal han cause in this matere,”",Ne that I shal han cause in this matere,u S u S u Sx u S uSx,10,u S u S u Sx u S uSx,10,1,67.56
"Quod he, “to pleine, or after yow to preche?”",Quod he to pleine or after yow to preche,u S u Sx u Su S u Sx,10,u S u Sx u Su S u Sx,10,1,75.50
"“Why, no, pardee; what nedeth more speche?”",Why no pardee what nedeth more speche,u S uS u Su Su Sx,10,u S uS u Su Su Sx,10,1,63.54
Tho fillen they in other tales glade,Tho fillen they in other tales glade,u Su S u Su Su Sx,10,u Su S u Su Su Sx,10,1,74.01
"Til at the laste, “O good eem,” quod she tho",Til at the laste O good eem quod she tho,u S u Sx u S u S u S,10,u S u Sx u S u S u S,10,1,62.34
"“For love of God, which that us bothe made",For love of God which that us bothe made,u Sx u S u S u Su Sx,10,u Sx u S u S u Su Sx,10,1,62.78
Tel me how first ye wisten of his wo:,Tel me how first ye wisten of his wo,u S u S u Su S u S,10,u S u S u Su S u S,10,1,67.48
"Wot noon of it but ye?” He seide, “No.”",Wot noon of it but ye He seide No,u S u S u S u Su S,10,u S u S u S u Su S,10,1,58.36
"“Can he wel speke of love?” quod she, “I preie",Can he wel speke of love quod she I preie,u S u Sx u Sx u S u S,10,u S u Sx u Sx u S u S,10,1,66.09
"Tel me, for I the bet me shal purveie.”",Tel me for I the bet me shal purveie,u S u S u S u S uS,10,u S u S u S u S uS,10,1,63.18
Tho Pandarus a litel gan to smile,Tho Pandarus a litel gan to smile,u SuS u Su S u Sx,10,u SuS u Su S u Sx,10,1,80.09
"And seide, “By my trouthe, I shal yow telle.",And seide By my trouthe I shal yow telle,u Su S u Sx u S u Sx,10,u Su S u Sx u S u Sx,10,1,66.39
"This other day, nought gon ful longe while",This other day nought gon ful longe while,u Su S u S u Su Sx,10,u Su S u S u Su Sx,10,1,73.95
"Inwith the paleis gardin, by a welle",Inwith the paleis gardin by a welle,uS u Su Su S u Sx,10,uS u Su Su S u Sx,10,1,90.13
Gan he and I wel half a day to dwelle,Gan he and I wel half a day to dwelle,u S u S u S u S u Sx,10,u S u S u S u S u Sx,10,1,66.09
Right for to speken of an ordenaunce,Right for to speken of an ordenaunce,u S u Su S u SuSx,10,u S u Su S u SuSx,10,1,73.60
How we the Grekes mighte disavaunce.,How we the Grekes mighte disavaunce,u S u Su Su SuSx,10,u S u Su Su SuSx,10,1,73.45
“Sone after that bigonne we to lepe,Sone after that bigonne we to lepe,ux Su S uSu S u Sx,10,ux Su S uSu S u Sx,10,1,51.40
And casten with our dartes to and fro,And casten with our dartes to and fro,u Su S u Su S u S,10,u Su S u Su S u S,10,1,69.89
"Til at the laste he seide, he wolde slepe",Til at the laste he seide he wolde slepe,u S u Sx u Sx u Su Sx,10,u S u Sx u Sx u Su Sx,10,1,69.63
And on the gres adoun he leide him tho;,And on the gres adoun he leide him tho,u S u S uS u Sx u S,10,u S u S uS u Sx u S,10,1,80.55
And I after gan rome to and fro,And I after gan rome to and fro,u S uS u Su S u S,10,u S uS u Su S u S,10,1,50.43
"Til that I herde, as that I welk allone",Til that I herde as that I welk allone,u S u Sx u S u S uSx,10,u S u Sx u S u S uSx,10,1,71.18
How he bigan ful wofully to grone.,How he bigan ful wofully to grone,u S uS u SuS u Sx,10,u S uS u SuS u Sx,10,1,81.26
Tho gan I stalke him softely bihinde,Tho gan I stalke him softely bihinde,u S u Sx u SuS uSx,10,u S u Sx u SuS uSx,10,1,75.79
"And sikerly, the sothe for to seyne",And sikerly the sothe for to seyne,u SuS u Su S u Sx,10,u SuS u Su S u Sx,10,1,75.86
As I can clepe ayein now to my minde,As I can clepe ayein now to my minde,u S u Sx uS u S u Sx,10,u S u Sx uS u S u Sx,10,1,60.71
Right thus to Love he gan him for to pleine;,Right thus to Love he gan him for to pleine,u S u Sx u S u S u Sx,10,u S u Sx u S u S u Sx,10,1,72.41
"He seide, ‘Lord! have routhe upon my peine",He seide Lord have routhe upon my peine,u Sx u Su Sx uS u Sx,10,u Su S ux Sx uS u Sx,10,0,74.00
Al have I been rebel in min entente;,Al have I been rebel in min entente,u Sx u S uS u S uSx,10,u Sx u S uS u S uSx,10,1,64.03
"Now, mea culpa, lord! I me repente.",Now mea culpa lord I me repente,u Su Su S u S uSx,10,u Su Su S u S uSx,10,1,83.50
"“ ‘O god, that at thy disposicioun",O god that at thy disposicioun,u S u S u SuSuS,10,u S u S u SuSuS,10,1,72.98
"Ledest the fin, by juste purveiaunce",Ledest the fin by juste purveiaunce,uS u S u Su SuSx,10,uS u S u Su SuSx,10,1,76.41
"Of every wight, my lowe confessioun",Of every wight my lowe confessioun,u Sxu S u Sx uSuS,10,u Su S u Sx uSuS,10,1,85.09
"Accepte in gree, and send me swich penaunce",Accepte in gree and send me swich penaunce,uSx u S u S u S uSx,10,uSx u S u S u S uSx,10,1,81.54
"As liketh thee, but from desesperaunce",As liketh thee but from desesperaunce,u Su S u S uSuSx,10,u Su S u S uSuSx,10,1,83.05
That may my goost departe awey fro thee,That may my goost departe awey fro thee,u S u S uSx uS u S,10,u S u S uSx uS u S,10,1,82.33
"Thou be my sheld, for thy benignitee.",Thou be my sheld for thy benignitee,u S u S u S uSuS,10,u S u S u S uSuS,10,1,70.85
"“ ‘For certes, lord, so sore hath she me wounded",For certes lord so sore hath she me wounded,u Su S u Sx u S u Su,11,u Su S u Sx u S u Sx,10,0,57.98
"That stod in blak, with loking of hir yën",That stod in blak with loking of hir yn,u S u S u Su S u S,10,u S u S u Su S u S,10,1,69.90
That to min hertes botme it is ysounded,That to min hertes botme it is ysounded,u S u Su Sx u S uSu,11,u S u Su Sx u S uSx,10,0,55.52
Thorugh which I woot that I mot nedes dyen;,Thorugh which I woot that I mot nedes dyen,u S u S u S u Su S,10,u S u S u S u Sx uS,10,0,55.03
This is the worste: I dar me not biwrien;,This is the worste I dar me not biwrien,u S u Sx u S u S uS,10,u S u Sx u S u S uSu,11,0,57.26
And wel the hotter been the gledes rede,And wel the hotter been the gledes rede,u S u Su S u Su Sx,10,u S u Su S u Su Sx,10,1,91.47
That men hem wrien with asshen pale and dede.’,That men hem wrien with asshen pale and dede,u S u S u Su S u S,10,u S u Su S ux Sx u Sx,10,0,50.99
With that he smoot his heed adoun anoon,With that he smoot his heed adoun anoon,u S u S u S uS uS,10,u S u S u S uS uS,10,1,78.22
"And gan to motre, I noot what, trewely.",And gan to motre I noot what trewely,u S u Sx u S u SuS,10,u S u Sx u S u SuS,10,1,81.81
And I with that gan stille awey to goon,And I with that gan stille awey to goon,u S u S u Sx uS u S,10,u S u S u Sx uS u S,10,1,69.52
And leet therof as nothing wist hadde I,And leet therof as nothing wist hadde I,u S uS u Su S ux S,10,u S uS u Su S ux S,10,1,61.22
And come ayein anoon and stood him by,And come ayein anoon and stood him by,u Sx uS uS u S u S,10,u Sx uS uS u S u S,10,1,80.41
"And seide, ‘Awake, ye slepen al to longe;",And seide Awake ye slepen al to longe,u Sx uSx u Su S u Sx,10,u Sx uSx u Su S u Sx,10,1,74.22
It semeth nat that love dooth yow longe,It semeth nat that love dooth yow longe,u Su S u Su S u Sx,10,u Su S u Su S u Sx,10,1,57.76
“ ‘That slepen so that no man may yow wake.,That slepen so that no man may yow wake,u Su S u S u S u Sx,10,u Su S u S u S u Sx,10,1,58.49
Who sey evere or this so dul a man?’,Who sey evere or this so dul a man,u S uSx u S u S u S,10,u S uSx u S u S u S,10,1,66.35
"‘Ye, freend,’ quod he, ‘do ye your hedes ake",Ye freend quod he do ye your hedes ake,u S u S u S u Su Sx,10,u S u S u S u Su Sx,10,1,72.47
"For love, and lat me liven as I can.’",For love and lat me liven as I can,u Sx u S u Su S u S,10,u Sx u S u Su S u S,10,1,69.15
But though that he for wo was pale and wan,But though that he for wo was pale and wan,u S u S u S u Sx u S,10,u S u S u S u Sx u S,10,1,71.28
Yet made he tho as fresh a contenaunce,Yet made he tho as fresh a contenaunce,u Sx u S u S u SuSx,10,u Sx u S u S u SuSx,10,1,77.46
As though he shulde have led the newe daunce.,As though he shulde have led the newe daunce,u S u Sx ux S u Su Sx,10,u S u Sx ux S u Su Sx,10,1,71.68
"“This passed forth, til now, this other day",This passed forth til now this other day,u Su S u S u Su S,10,u Su S u S u Su S,10,1,74.72
It fel that I com roming al allone,It fel that I com roming al allone,u S u S u Su S uSx,10,u S u S u Su S uSx,10,1,75.77
"Into his chaumbre, and fond how that he lay",Into his chaumbre and fond how that he lay,uS u Sx u S u S u S,10,uS u Sx u S u S u S,10,1,77.10
Upon his bed; but man so sore grone,Upon his bed but man so sore grone,uS u S u S u Su Sx,10,uS u S u S u Su Sx,10,1,80.92
"Ne herde I never, and what that was his mone",Ne herde I never and what that was his mone,u Sx u S u S u S u Sx,10,u Sx u S u S u S u Sx,10,1,69.71
"Ne wiste I nought; for, as I was cominge",Ne wiste I nought for as I was cominge,u Sx u S u S u S uSx,10,u Sx u S u S u S uSx,10,1,67.30
Al sodeinly he lefte his compleininge.,Al sodeinly he lefte his compleininge,u SuS u Sx u SuSx,10,u SuS u Sx u SuSx,10,1,80.09
“Of which I took somewhat suspecioun,Of which I took somewhat suspecioun,u S u S uS uSuS,10,u S u S uSu SuSu,11,0,52.11
"And neer I com, and fond he wepte sore;",And neer I com and fond he wepte sore,u S u S u S u Su Sx,10,u S u S u S u Su Sx,10,1,70.84
